"heroes.name_fancy.astral_cosmicspeaker","Astronomka astralnych elfów"
"heroes.name_fancy.shadow_melancholia","Akolitka pierwotnych"
"heroes.name_fancy.shadow_omen","Uświęcony diabelską rafą"
"heroes.name_fancy.shadow_penelope","Zaciekła była bibliotekarka"
"heroes.name_fancy.shadow_rashan","Mistrz ostrzy hulu"
"heroes.name_fancy.shadow_rosanna","Sokole oko"
"heroes.name_fancy.shadow_salvatore","Spaczone medium"
"heroes.name_fancy.shadow_shoggo","Zmiennokształtny przewodnik"
"heroes.name_fancy.shadow_wulfstan","Nadprzyrodzony twórca amunicji"
"heroes.name_fancy.shadow_zavinia","Hybryda z głębin"
"heroes.name_fancy.slayer_aodhan","Wypalacz"
"heroes.name_fancy.slayer_caitlin","Oświecona"
"heroes.name_fancy.slayer_caitlin_costume_crusader","Orędowniczka Prawości"
"heroes.name_fancy.slayer_cathal","Waleczne serce"
"heroes.name_fancy.slayer_cillian","Nieśmiertelny"
"heroes.name_fancy.slayer_maeve","Niedostrzegalna"
"heroes.name_fancy.slayer_noril","Gorączka"
"heroes.name_fancy.slayer_orla","Godna"
"heroes.name_fancy.slayer_rian","Niewzruszony"
"heroes.name_fancy.slayer_saoirse","Nieokiełznana"
"heroes.name_fancy.slayer_saoirse_costume_knight","Pogromczyni"
"heroes.name_fancy.slayer_senan","Przeklęty"
"heroes.name_fancy.slayer_senan_costume_tentacles","Cefaloidalny Sługa"
"heroes.name_fancy.slime_achillea","Nieustraszony śluz gladiator"
"heroes.name_fancy.slime_boboosang","Stary śluz handlarz"
"heroes.name_fancy.slime_bulklug","Szlamowy budowniczy"
"heroes.name_fancy.slime_charmione","Czarująca teatralna maź"
"heroes.name_fancy.slime_chingiriko","Czyhający śluz"
"heroes.name_fancy.slime_choozen","Wstydliwy skrzyniowy śluz"
"heroes.name_fancy.slime_fruitio","Uwielbiający owoce śluz"
"heroes.name_fancy.slime_fungustine","Ożywiający leśny śluz"
"heroes.name_fancy.slime_gloozmer","Łagodny kuglarski śluz"
"heroes.name_fancy.slime_goldrip","Złoty król śluzów"
"heroes.name_fancy.slime_gooldron","Ciapowaty śluz z kociołka"
"heroes.name_fancy.slime_goorian","Barbarzyński szlam"
"heroes.name_fancy.slime_gooric","Roztropna maź sanktuarium"
"heroes.name_fancy.slime_gooze","Maź zbiegła z laboratorium alchemicznego"
"heroes.name_fancy.slime_gunktus","Nieugięty szlam bojowy"
"heroes.name_fancy.slime_harubo","Patrolujący śluz"
"heroes.name_fancy.slime_justico","Śluz obrońca"
"heroes.name_fancy.slime_knightus","Rycerski śluz świątynny"
"heroes.name_fancy.slime_labblub","Ciekawski śluz naukowiec"
"heroes.name_fancy.slime_magistine","Czarujący śluz"
"heroes.name_fancy.slime_mucktus","Diabelski leśny szlam"
"heroes.name_fancy.slime_slaymire","Uparty śluz kat"
"heroes.name_fancy.slime_slimgo","Podstępny zbuntowany śluz"
"heroes.name_fancy.slime_sliposi","Śliski śluz kurier"
"heroes.name_fancy.slime_sludgus","Śpiewający karczemny śluz"
"heroes.name_fancy.slime_verdigoo","Lepki szmaragdowy arbiter"
"heroes.name_fancy.slime_zestique","Słodki zarumieniony śluz"
"heroes.name_fancy.styx_amphitrite","Bogini morza"
"heroes.name_fancy.styx_arges","Cyklop sprzedawca eliksirów"
"heroes.name_fancy.styx_brontes","Cyklop rolnik"
"heroes.name_fancy.styx_charon","Przewoźnik ze Styksu"
"heroes.name_fancy.styx_dante","Awanturnik z zaświatów"
"heroes.name_fancy.styx_erebus","Bóg głębokiej ciemności"
"heroes.name_fancy.styx_hypnos","Mistrz snu"
"heroes.name_fancy.styx_nemesis","Bogini zemsty"
"heroes.name_fancy.styx_nyx","Matka nocy"
"heroes.name_fancy.styx_steropes","Cyklop artysta"
"heroes.name_fancy.styx_thanatos","Bóg spokojnej śmierci"
"heroes.name_fancy.styx_virgil","Przewodnik po zaświatach"
"heroes.name_fancy.tales1_aqualith","Hoplita żywiołów"
"heroes.name_fancy.tales1_aqualith_costume_purple","Kolos żywiołów"
"heroes.name_fancy.tales1_atlanteia","Nereida z głębi lodowca"
"heroes.name_fancy.tales1_atlanteia_costume_siren","Lodowa syrena z głębin"
"heroes.name_fancy.tales1_bagreg","Dowódca oddziału ryboludzi"
"heroes.name_fancy.tales1_bagreg_costume_scout","Ryboludź harcerz"
"heroes.name_fancy.tales1_ceto","Pierwotna bogini potworów morskich"
"heroes.name_fancy.tales1_ceto_costume_queen","Pierwotna królowa potworów morskich"
"heroes.name_fancy.tales1_domiventus","Istota z wiecznego hadalu"
"heroes.name_fancy.tales1_domiventus_costume_supreme","Istota najwyższa z hadalu"
"heroes.name_fancy.tales1_ephyra","Księżniczka Nereid"
"heroes.name_fancy.tales1_ephyra_costume_reef","Księżniczka rafy"
"heroes.name_fancy.tales1_galapago","Mędrzec oceanów"
"heroes.name_fancy.tales1_galapago_costume_quarry","Roztropny Żółw Wykopalisk"
"heroes.name_fancy.tales1_gelert","Łowca skarbów z głębin"
"heroes.name_fancy.tales1_gelert_costume_scavenger","Zbieracz z Głębin"
"heroes.name_fancy.tales1_gestalt","Książę wiekuistych głębin"
"heroes.name_fancy.tales1_gestalt_costume_pearls","Książę wiekuistych pereł"
"heroes.name_fancy.tales1_jaco","Podejrzany handlarz z głębin"
"heroes.name_fancy.tales1_jaco_costume_alchemist","Podejrzany alchemik z głębin"
"heroes.name_fancy.tales1_lasalle","Ekstrawagancki husarz Atlantydy"
"heroes.name_fancy.tales1_lasalle_costume_jockey","Ekstrawagancki dżokej Atlantydy"
"heroes.name_fancy.tales1_medea","Królowa nag z głębin"
"heroes.name_fancy.tales1_medea_costume_goddess","Bogini nag z głębin"
"heroes.name_fancy.tales1_mulgog","Maruder ryboludzi"
"heroes.name_fancy.tales1_mulgog_costume_bard","Ryboludź bard"
"heroes.name_fancy.tales1_persa","Wodny duch grabieży"
"heroes.name_fancy.tales1_persa_costume_jellyfish_noble","Szlachetna meduza"
"heroes.name_fancy.tales1_phorcys","Pierwotny bóg głębin"
"heroes.name_fancy.tales1_phorcys_costume_warrior_god","Wojowniczy bóg Głębin"
"heroes.name_fancy.tales1_sharkhai","Wielki zdrajca"
"heroes.name_fancy.tales1_sharkhai_costume_butcher","Zadziorny rzeźnik"
"heroes.name_fancy.tales1_spartoi","Berserker nagi"
"heroes.name_fancy.tales1_spartoi_costume_guard","Strażnik nag"
"heroes.name_fancy.tales1_thalassa","Pierwotna bogini oceanów"
"heroes.name_fancy.tales1_thalassa_costume_crystals","Pierwotna bogini kryształów"
"heroes.name_fancy.tales1_ultrox","Strażnik świątyni z głębin"
"heroes.name_fancy.tales1_ultrox_costume_ethereal","Wysysacz z Głębin"
"heroes.name_fancy.tales2_aethslegaur","Krasnoludzki Poszukiwacz Ognia"
"heroes.name_fancy.tales2_aethslegaur_costume_soul_seeker","Krasnoludzki poszukiwacz dusz"
"heroes.name_fancy.tales2_andvari","Krasnoludzka Wyrocznia"
"heroes.name_fancy.tales2_andvari_costume_c1","Krasnoludzka uzdrowicielka"
"heroes.name_fancy.tales2_bragi","Bokser krasnoludów"
"heroes.name_fancy.tales2_bryggvir","Kozi jeździec krasnoludów"
"heroes.name_fancy.tales2_dagr","Szaman górskich krasnoludów"
"heroes.name_fancy.tales2_dagr_costume_plague_shaman","Krasnoludzki szaman plagi"
"heroes.name_fancy.tales2_dain","Mistrzyni oblężeń krasnoludów"
"heroes.name_fancy.tales2_dularfulr","Krasnoludzka Czarnowidzka"
"heroes.name_fancy.tales2_dularfulr_costume_engineer","Krasnoludzki mroczny inżynier"
"heroes.name_fancy.tales2_fafnir","Krasnoludzka pani Myrkheimu"
"heroes.name_fancy.tales2_fimafeng","Krasnoludzka mistrzyni przetrwania"
"heroes.name_fancy.tales2_fjalar","Krasnoludzki Złoty Skald"
"heroes.name_fancy.tales2_fjalar_costume_undead","Krasnoludzki upiorny Skald"
"heroes.name_fancy.tales2_gandr","Krasnoludzka Wojowniczka Wiatru"
"heroes.name_fancy.tales2_gandr_costume_guardian","Krasnoludzka królewska żołnierka"
"heroes.name_fancy.tales2_helgi","Krasnoludzk Furiat"
"heroes.name_fancy.tales2_helgi_costume_combatant","Krasnoludzki odnawiacz"
"heroes.name_fancy.tales2_hogne","Wielki rycerz krasnoludów"
"heroes.name_fancy.tales2_hreidmarr","Król górskich krasnoludów"
"heroes.name_fancy.tales2_motsognir","Krasnoludzki dzikus z pogranicza"
"heroes.name_fancy.tales2_ott","Krasnoludzki Wesoły Kawalarz"
"heroes.name_fancy.tales2_ott_costume_herbalist","Krasnoludzki mistrz kuglarstwa"
"heroes.name_fancy.tales2_regin","Krasnoludzka Księżniczka z Bajki"
"heroes.name_fancy.tales2_regin_costume_omen","Krasnoludzki upadły książę"
"heroes.name_fancy.tales2_snorri","Krasnoludzki bajarz"
"heroes.name_fancy.tales2_svafa","Krasnoludzka łowczyni grubej zwierzyny"
"heroes.name_fancy.tales2_thrivaldi","Krasnoludzki Poszukiwacz Mrozu"
"heroes.name_fancy.titan_hunter_adelitza","Strażniczka lasu deszczowego"
"heroes.name_fancy.titan_hunter_avestalon","Traper z lasu deszczowego"
"heroes.name_fancy.titan_hunter_borgholf","Traper z Zagajnika"
"heroes.name_fancy.titan_hunter_brachynd","Strażnik zatoczki"
"heroes.name_fancy.titan_hunter_konradus","Strażnik tundry"
"heroes.name_fancy.titan_hunter_lumi_and_taiga","Strażniczka tundry"
"heroes.name_fancy.titan_hunter_orson","Opiekun Zagajnika"
"heroes.name_fancy.titan_hunter_savanna","Strażniczka dziczy"
"heroes.name_fancy.titan_hunter_veldt","Traper z dziczy"
"heroes.name_fancy.titan_hunter_vendela","Strażniczka Zagajnika"
"heroes.name_fancy.trainer","Miecz do wynajęcia"
"heroes.name_fancy.tribal_chief","Wódz plemienny"
"heroes.name_fancy.tribal_chief_costume_conqueror","Plemienny mściciel"
"heroes.name_fancy.tribal_chief_costume_cute","Wódz kreskówkowych"
"heroes.name_fancy.tribal_chief_costume_glass","Wódz witraży"
"heroes.name_fancy.tribal_chief_costume_leopard","Wódz lampartów"
"heroes.name_fancy.undead_captain_warrior","Lord śmierci"
"heroes.name_fancy.undead_captain_warrior_costume_cute","Kreskówkowy śmierci"
"heroes.name_fancy.undead_captain_warrior_costume_glass","Witraż śmierci"
"heroes.name_fancy.undead_captain_warrior_costume_prince","Nieśmiertelny książę"
"heroes.name_fancy.undead_captain_warrior_costume_reveller","Martwy Hulaka"
"heroes.name_fancy.undead_captain_warrior_costume_stylish","Stylowy lord śmierci"
"heroes.name_fancy.undead_female_warrior","Dama śmierci"
"heroes.name_fancy.undead_female_warrior_costume_cute","Nieśmiertelna kreskówkowa"
"heroes.name_fancy.undead_female_warrior_costume_glass","Witraż śmierci"
"heroes.name_fancy.undead_female_warrior_costume_princess","Nieśmiertelna księżniczka"
"heroes.name_fancy.undead_female_warrior_costume_rococo","Martwa księżniczka"
"heroes.name_fancy.undead_horned_skeleton","Niezłomny strzępek"
"heroes.name_fancy.undead_horned_skeleton_costume_cute","Nieustępliwy kreskówkowy"
"heroes.name_fancy.undead_horned_skeleton_costume_fool","Resztki żartownisia"
"heroes.name_fancy.undead_horned_skeleton_costume_glass","Nieustępliwy witraż"
"heroes.name_fancy.undead_running_skeleton","Wierny strzępek"
"heroes.name_fancy.undead_running_skeleton_costume_cute","Podniosły kreskówkowy"
"heroes.name_fancy.undead_running_skeleton_costume_glass","Szklany niedobitek"
"heroes.name_fancy.undead_running_skeleton_costume_roman","Rzymski niedobitek"
"heroes.name_fancy.undead_screaming_zombie","Drżący strzępek"
"heroes.name_fancy.underworld_champion","Przyboczny pretor"
"heroes.name_fancy.underworld_champion_costume_champion","Gladiator pretorianin"
"heroes.name_fancy.underworld_champion_costume_cute","Kreskówkowy pretorianin"
"heroes.name_fancy.underworld_champion_costume_glass","Witraż pretorianin"
"heroes.name_fancy.underworld_champion_costume_stylish","Stylowy ochroniarz"
"heroes.name_fancy.underworld_champion_costume_vampire","Wampir pretorianin"
"heroes.name_fancy.valentines_anteros","Kupidyn miłości odwzajemnionej"
"heroes.name_fancy.valentines_cupido","Kupidyn miłości"
"heroes.name_fancy.valentines_cupido_costume_flame","Kupidyn płomiennej namiętności"
"heroes.name_fancy.valentines_elba","Niezłomna strażniczka miłości"
"heroes.name_fancy.valentines_eros","Kupidyn pożądania"
"heroes.name_fancy.valentines_himeros","Kupidyn nieszczęśliwej miłości"
"heroes.name_fancy.valentines_kabeiroi","Zakochana mechanik"
"heroes.name_fancy.valentines_lempi","Kupidynka zimowego poranka"
"heroes.name_fancy.valentines_matchmaker_dodgrom","Orkowy konsultant randkowy"
"heroes.name_fancy.valentines_phthonus","Kupidyn zazdrości"
"heroes.name_fancy.valentines_vernon","Kupidyn rdzenia drzewa"
"heroes.name_fancy.valentines_voluptas","Kupidynka przyjemności"
"heroes.name_fancy.valentines_voluptas_costume_paint","Kupidynka malarzy"
"heroes.name_fancy.valentines_zarola","Kupidynka łamaczy serc"
"heroes.name_fancy.valentines_zarola_costume_cowboy","Kupidynka samotnych strażników lasu"
"heroes.name_fancy.vampire_king","Król wampirów"
"heroes.name_fancy.vampire_king_costume_mafia","Król zbrodni"
"heroes.name_fancy.vampire_lord","Sługus wampirów"
"heroes.name_fancy.vampire_queen","Dziecię nocy"
"heroes.name_fancy.vegetable_auberguy","Bakłażanowy czarnoksiężnik"
"heroes.name_fancy.vegetable_bartholomew","Paprykowy barbarzyńca"
"heroes.name_fancy.vegetable_broseph","Brokułowy szaman"
"heroes.name_fancy.vegetable_caleb","Kapuściany żołnierz"
"heroes.name_fancy.vegetable_elsbeth","Buraczany rycerz"
"heroes.name_fancy.vegetable_indigon","Wściekły czempion grzybów"
"heroes.name_fancy.vegetable_onwyn","Cebulowy bandyta"
"heroes.name_fancy.vegetable_pineon","Ananasowy geniusz"
"heroes.name_fancy.villain_asterius","Potworny Minotaur"
"heroes.name_fancy.villain_crystalis","Krystaliczna imperatorka"
"heroes.name_fancy.villain_dark_lord","Zmora z Karemdol"
"heroes.name_fancy.villain_dark_lord_costume_astronomer","Astronom z Karemdol"
"heroes.name_fancy.villain_edd","Nierozgarnięty zbir"
"heroes.name_fancy.villain_ingolf","Przeklęty hersir"
"heroes.name_fancy.villain_isrod","Przeklęty jarl"
"heroes.name_fancy.villain_karnov","Czempion bandytów"
"heroes.name_fancy.villain_karnov_costume_jammies","Bokser na Dobranoc"
"heroes.name_fancy.villain_sanngrior","Upadła walkiria"
"heroes.name_fancy.villain_skrekok","Pospolity łajdak"
"heroes.name_fancy.villain_toxicandra","Władczyni Cerbery"
"heroes.name_fancy.villain_toxicandra_costume_rose","Władczyni Flory"
"heroes.name_fancy.wild_cat_catalina","Królowa dżungli"
"heroes.name_fancy.wild_cat_ferni","Żądna przygód kocica z lasu deszczowego"
"heroes.name_fancy.wild_cat_gitnib","Pechowy tygrys rybak"
"heroes.name_fancy.wild_cat_imagus","Puszysty astronom"
"heroes.name_fancy.wild_cat_lennart","Uważny ryś"
"heroes.name_fancy.wild_cat_leonie","Mistrz przetrwania leorów"
"heroes.name_fancy.wild_cat_marnes","Flankująca pantera"
"heroes.name_fancy.wild_cat_rajesh","Tygrysi wódz smakosz"
"heroes.name_fancy.wild_cat_rawn","Puma włamywacz"
"heroes.name_fancy.wild_cat_savann","Kot błogosławionej słońcem doliny"
"heroes.name_fancy.wild_cat_sharalen","Bezlitosna rysica z frontu"
"heroes.name_fancy.wild_cat_stravia","Posłanka Chentari"
"heroes.name_fancy.wild_cat_thaffer","Pręgowany włamywacz"
"heroes.name_fancy.wild_cat_tunes","Górska kotka muzyczka"
"heroes.name_fancy.wild_cat_vernix","Magiczna śnieżna pantera"
"heroes.name_fancy.witch_king","Władca grobowców"
"heroes.name_fancy.witch_king_costume_cosmic","Kosmiczny zaklinacz"
"heroes.name_fancy.wonderland_alice","Awanturnik z Krainy Czarów"
"heroes.name_fancy.wonderland_alice_costume_warping","Krykietowa księżniczka z Krainy Czarów"
"heroes.name_fancy.wonderland_bear","Bestia z Krainy Czarów"
"heroes.name_fancy.wonderland_captain","Walet z Krainy Czarów"
"heroes.name_fancy.wonderland_cheshire_cat","Figlarny kotek"
"heroes.name_fancy.wonderland_cheshire_cat_costume_malicious","Złośliwy kociak"
"heroes.name_fancy.wonderland_hatter","Zagadkownik z Krainy Czarów"
"heroes.name_fancy.wonderland_hatter_costume_tea","Znawca herbat z Krainy Czarów"
"heroes.name_fancy.wonderland_jabberwocky","Straszydło z Krainy Czarów"
"heroes.name_fancy.wonderland_jabberwocky_costume_moth","Ćma"
"heroes.name_fancy.wonderland_knave_of_hearts","Złodziej z Krainy Czarów"
"heroes.name_fancy.wonderland_phoenicus","Mędrzec z Krainy Czarów"
"heroes.name_fancy.wonderland_queen","Królowa z Krainy Czarów"
"heroes.name_fancy.wonderland_queen_costume_benefactor","Łaskawczyni z Krainy Czarów"
"heroes.name_fancy.wonderland_tweedles","Bliźniaki z Krainy Czarów"
"heroes.name_fancy.wonderland_white_rabbit","Przewodnik z Krainy Czarów"
"heroes.name_fancy.wonderland_white_rabbit_costume_mask","Maska szaleństwa"
