"heroes.name_fancy.astral_cosmicspeaker","Astronome des elfes astraux"
"heroes.name_fancy.underworld_champion_costume_cute","Prétorien cartoonesque"
"heroes.name_fancy.underworld_champion_costume_glass","Vitrail prétorien"
"heroes.name_fancy.underworld_champion_costume_stylish","Garde du corps élégant"
"heroes.name_fancy.underworld_champion_costume_vampire","Vampire prétorien"
"heroes.name_fancy.valentines_anteros","Cupidon de l'amour réciproque"
"heroes.name_fancy.valentines_cupido","Cupidon de l'affection"
"heroes.name_fancy.valentines_cupido_costume_flame","Cupidon de la passion ardente"
"heroes.name_fancy.valentines_elba","Protectrice de l'amour"
"heroes.name_fancy.valentines_eros","Cupidon du désir"
"heroes.name_fancy.valentines_himeros","Cupidon de l'amour à sens unique"
"heroes.name_fancy.valentines_kabeiroi","Mécano amoureuse"
"heroes.name_fancy.valentines_lempi","Cupidon des matins d'hiver"
"heroes.name_fancy.valentines_matchmaker_dodgrom","Conseiller romantique orque"
"heroes.name_fancy.valentines_phthonus","Cupidon de la jalousie"
"heroes.name_fancy.valentines_vernon","Cupidon du bois du cœur"
"heroes.name_fancy.valentines_voluptas","Cupidon de la joie"
"heroes.name_fancy.valentines_voluptas_costume_paint","Cupidon des peintres"
"heroes.name_fancy.valentines_zarola","Cupidon des cœurs brisés"
"heroes.name_fancy.valentines_zarola_costume_cowboy","Cupidon des cavaliers solitaires"
"heroes.name_fancy.vampire_king","Roi Vampire"
"heroes.name_fancy.vampire_king_costume_mafia","Roi du crime"
"heroes.name_fancy.vampire_lord","Suppôt vampire"
"heroes.name_fancy.vampire_queen","Fille de la nuit"
"heroes.name_fancy.vegetable_bartholomew","Poivron rouge barbare"
"heroes.name_fancy.vegetable_elsbeth","Chevalier betterave"
"heroes.name_fancy.villain_asterius","Minotaure monstrueux"
"heroes.name_fancy.villain_crystalis","Impératrice de cristal"
"heroes.name_fancy.villain_dark_lord","Fléau de Karemdol"
"heroes.name_fancy.villain_dark_lord_costume_astronomer","Astronome de Karemdol"
"heroes.name_fancy.villain_edd","Brigand à tête dure"
"heroes.name_fancy.villain_ingolf","Hersir maudit"
"heroes.name_fancy.villain_isrod","Jarl maudit"
"heroes.name_fancy.villain_karnov","Frappeur champion"
"heroes.name_fancy.villain_karnov_costume_jammies","Brute endormie"
"heroes.name_fancy.villain_sanngrior","Valkyrie déchue"
"heroes.name_fancy.villain_skrekok","Homme-rat chapardeur"
"heroes.name_fancy.villain_toxicandra","Souveraine de Cerbera"
"heroes.name_fancy.villain_toxicandra_costume_rose","Souveraine de Flora"
"heroes.name_fancy.wild_cat_catalina","Couronne de la jungle"
"heroes.name_fancy.wild_cat_ferni","Chat aventurier de la forêt"
"heroes.name_fancy.wild_cat_gitnib","Pêcheur félin malchanceux"
"heroes.name_fancy.wild_cat_imagus","Astronome velu"
"heroes.name_fancy.wild_cat_lennart","Chat à l'œil perçant"
"heroes.name_fancy.wild_cat_leonie","Survivant léor"
"heroes.name_fancy.wild_cat_marnes","Panthère impitoyable"
"heroes.name_fancy.wild_cat_rajesh","Chef tigris gourmand"
"heroes.name_fancy.wild_cat_rawn","Couguar voleur"
"heroes.name_fancy.wild_cat_savann","Chat de la vallée bénie par le soleil"
"heroes.name_fancy.wild_cat_sharalen","Combattant lynx impitoyable"
"heroes.name_fancy.wild_cat_stravia","Messagère des Chentaris"
"heroes.name_fancy.wild_cat_thaffer","Perce-coffre félin"
"heroes.name_fancy.wild_cat_tunes","Chatte musicienne"
"heroes.name_fancy.wild_cat_vernix","Mage léopard des neiges"
"heroes.name_fancy.witch_king","Maître des caveaux"
"heroes.name_fancy.witch_king_costume_cosmic","Conjurateur cosmique"
"heroes.name_fancy.wonderland_alice","Aventurière du Pays des merveilles"
"heroes.name_fancy.wonderland_alice_costume_warping","Princesse joueuse de croquet du Pays des merveilles"
"heroes.name_fancy.wonderland_bear","Bête du Pays des merveilles"
"heroes.name_fancy.wonderland_captain","Fripon du Pays des merveilles"
"heroes.name_fancy.wonderland_cheshire_cat","Chaton espiègle"
"heroes.name_fancy.wonderland_cheshire_cat_costume_malicious","Chaton malicieux"
"heroes.name_fancy.wonderland_hatter","Sphinx du Pays des merveilles"
"heroes.name_fancy.wonderland_hatter_costume_tea","Amateur de thé du Pays des merveilles"
"heroes.name_fancy.wonderland_jabberwocky","Terreur du Pays des merveilles"
"heroes.name_fancy.wonderland_jabberwocky_costume_moth","Mite mythique"
"heroes.name_fancy.wonderland_knave_of_hearts","Voleur du Pays des merveilles"
"heroes.name_fancy.wonderland_phoenicus","Intellect du Pays des merveilles"
"heroes.name_fancy.wonderland_queen","Monarque du Pays des merveilles"
"heroes.name_fancy.wonderland_queen_costume_benefactor","Bienfaitrice du Pays des merveilles"
"heroes.name_fancy.wonderland_tweedles","Jumeaux du Pays des merveilles"
"heroes.name_fancy.wonderland_white_rabbit","Guide du Pays des merveilles"
"heroes.name_fancy.wonderland_white_rabbit_costume_mask","Masque de la folie"
