"specials.name.a_cozy_break","En mysig paus"
"specials.name.wings_of_recovery","Återhämtningens vingar"
"specials.name.wings_of_shadow","Skuggans vingar"
"specials.name.wings_of_thorn","Törnevingar"
"specials.name.wisdom_of_the_gnomes","Hustomtarnas kunskap"
"specials.name.wise_mans_counsel","Den vise mannens råd"
"specials.name.witch_killer","Häxdödare"
"specials.name.witch_slayer","Häxdräpare"
"specials.name.withering_seasons","Vittrande årstider"
"specials.name.wolf_bite","Vargbett"
"specials.name.word_of_queen","Drottningens ord"
"specials.name.word_of_skies","Himlens ord"
"specials.name.worm_bite","Larvbett"
"specials.name.wounding_strike","Sårande anfall"
"specials.name.wrap","Snärj"
"specials.name.wrath_of_fate","Ödets vrede"
"specials.name.wrath_of_frozen_soul","Frostsjälens vrede"
"specials.name.wrath_of_the_ancient","Uråldrig vrede"
"specials.name.wrath_of_the_nine_beaks","Nio näbbars vrede"
"specials.name.wrath_of_tundra","Tundrans vrede"
"specials.name.wrathful_sting","Raseristick"
"specials.name.wrenching_strike","Vrickat slag"
"specials.name.xenda_special","Underjordisk låga"
"specials.name.xenda_special_costume","Undervärldsflamma"
"specials.name.yellow_beetloid_bite","Gult beetloid-bett"
"specials.name.yellow_signs","Gula tecken"
"specials.name.yurei","Yurei"
"specials.name.zombie_curse","Zombievälsignelse"
"specials.name.zombie_invocation","Zombieåkallan"
"specials.name.zooming_lunge","Susande utfall"
