"heroes.name_fancy.astral_cosmicspeaker","Astralelfenastronom"
"heroes.name_fancy.tales1_persa","Wassergeist der Plünderung"
"heroes.name_fancy.tales1_persa_costume_jellyfish_noble","Edelqualle"
"heroes.name_fancy.tales1_phorcys","Urgott der Tiefen"
"heroes.name_fancy.tales1_phorcys_costume_warrior_god","Kriegergott der Tiefen"
"heroes.name_fancy.tales1_sharkhai","Großer Betrüger"
"heroes.name_fancy.tales1_sharkhai_costume_butcher","Zackiger Metzger"
"heroes.name_fancy.tales1_spartoi","Naga-Berserker"
"heroes.name_fancy.tales1_spartoi_costume_guard","Nagawache"
"heroes.name_fancy.tales1_thalassa","Urgöttin der Ozeane"
"heroes.name_fancy.tales1_thalassa_costume_crystals","Urgöttin der Kristalle"
"heroes.name_fancy.tales1_ultrox","Tempelwache der Tiefe"
"heroes.name_fancy.tales1_ultrox_costume_ethereal","Leerschöpfer der Tiefe"
"heroes.name_fancy.tales2_aethslegaur","Zwergen-Feuersucher"
"heroes.name_fancy.tales2_andvari","Zwergorakel"
"heroes.name_fancy.tales2_bragi","Zwergen-Preiskämpfer"
"heroes.name_fancy.tales2_bryggvir","Zwergen-Ziegenreiter"
"heroes.name_fancy.tales2_dagr","Zwergenschamane"
"heroes.name_fancy.tales2_dain","Zwergen-Belagerungsmeister"
"heroes.name_fancy.tales2_dularfulr","Zwergen-Dunkelseherin"
"heroes.name_fancy.tales2_fafnir","Zwergenfürst von Myrkheim"
"heroes.name_fancy.tales2_fimafeng","Zwergische Überlebenskünstlerin"
"heroes.name_fancy.tales2_fjalar","Goldener Zwergen-Skalde"
"heroes.name_fancy.tales2_fjalar_costume_undead","Geisterhafter Zwergen-Skalde"
"heroes.name_fancy.tales2_gandr","Zwergen-Windkriegerin"
"heroes.name_fancy.tales2_gandr_costume_guardian","Zwergen-Königssoldatin"
"heroes.name_fancy.tales2_helgi","Zwergen-Wutläufer"
"heroes.name_fancy.tales2_helgi_costume_combatant","Zwergen-Aufstocker"
"heroes.name_fancy.tales2_hogne","Großer Zwergenritter"
"heroes.name_fancy.tales2_hreidmarr","Zwergen-Bergkönig"
"heroes.name_fancy.tales2_motsognir","Zwergen-Wildläufer"
"heroes.name_fancy.tales2_ott","Fröhlicher Zwergengauner"
"heroes.name_fancy.tales2_ott_costume_herbalist","Meisterhafter Zwergengauner"
"heroes.name_fancy.tales2_regin","Sagenumwobener Zwergenprinz"
"heroes.name_fancy.tales2_regin_costume_omen","Gefallener Zwergenprinz"
"heroes.name_fancy.tales2_snorri","Zwergen-Geschichtenerzähler"
"heroes.name_fancy.tales2_svafa","Zwergen-Großwildjägerin"
"heroes.name_fancy.tales2_thrivaldi","Zwergen-Frostsucher"
"heroes.name_fancy.titan_hunter_adelitza","Vorhut des Regenwaldes"
"heroes.name_fancy.titan_hunter_borgholf","Fallensteller des Hains"
"heroes.name_fancy.titan_hunter_lumi_and_taiga","Wächterinnen der Tundra"
"heroes.name_fancy.trainer","Söldner"
"heroes.name_fancy.tribal_chief","Stammeshäuptling"
"heroes.name_fancy.tribal_chief_costume_conqueror","Rächer der Stämme"
"heroes.name_fancy.tribal_chief_costume_cute","Häuptling der Toons"
"heroes.name_fancy.tribal_chief_costume_glass","Häuptling der Vitrails"
"heroes.name_fancy.tribal_chief_costume_leopard","Chef der Leoparden"
"heroes.name_fancy.undead_captain_warrior","Todgeweihter Lord"
"heroes.name_fancy.undead_captain_warrior_costume_cute","Todessehnsüchtiger Toon"
"heroes.name_fancy.undead_captain_warrior_costume_glass","Todessehnsüchtiger Vitrail"
"heroes.name_fancy.undead_captain_warrior_costume_prince","Unsterblicher Prinz"
"heroes.name_fancy.undead_captain_warrior_costume_reveller","Todgeweihter Nachtschwärmer"
"heroes.name_fancy.undead_female_warrior","Todgeweihte Lady"
"heroes.name_fancy.undead_female_warrior_costume_cute","Unsterblicher Toon"
"heroes.name_fancy.undead_female_warrior_costume_glass","Todessehnsüchtiger Vitrail"
"heroes.name_fancy.undead_female_warrior_costume_princess","Unsterbliche Prinzessin"
"heroes.name_fancy.undead_female_warrior_costume_rococo","Todgeweihte Prinzessin"
"heroes.name_fancy.undead_horned_skeleton","Unnachgiebiger Verbliebener"
"heroes.name_fancy.undead_horned_skeleton_costume_cute","Unnachgiebiger Toon"
"heroes.name_fancy.undead_horned_skeleton_costume_fool","Närrischer Verbliebener"
"heroes.name_fancy.undead_horned_skeleton_costume_glass","Unnachgiebiger Vitrail"
"heroes.name_fancy.undead_running_skeleton","Ernster Verbliebener"
"heroes.name_fancy.undead_running_skeleton_costume_cute","Ernster Toon"
"heroes.name_fancy.undead_running_skeleton_costume_glass","Gläserner Verbliebener"
"heroes.name_fancy.undead_running_skeleton_costume_roman","Römischer Verbliebener"
"heroes.name_fancy.undead_screaming_zombie","Schlurfender Verbliebener"
"heroes.name_fancy.underworld_champion","Prätorianischer Leibwächter"
"heroes.name_fancy.underworld_champion_costume_champion","Prätorianischer Gladiator"
"heroes.name_fancy.underworld_champion_costume_cute","Prätorianischer Toon"
"heroes.name_fancy.underworld_champion_costume_glass","Vitrail-Leibgardist"
"heroes.name_fancy.underworld_champion_costume_stylish","Stilvoller Leibwächter"
"heroes.name_fancy.underworld_champion_costume_vampire","Prätorianischer Vampir"
"heroes.name_fancy.valentines_anteros","Zurückgekehrter Amor der Liebe"
"heroes.name_fancy.valentines_cupido","Amor der Zuneigung"
"heroes.name_fancy.valentines_cupido_costume_flame","Amor der feurigen Leidenschaft"
"heroes.name_fancy.valentines_elba","Unerschütterliche Beschützerin der Liebe"
"heroes.name_fancy.valentines_eros","Amor der Sehnsucht"
"heroes.name_fancy.valentines_himeros","Amor der unerwiderten Liebe"
"heroes.name_fancy.valentines_kabeiroi","Verliebte Getriebene"
"heroes.name_fancy.valentines_lempi","Amor des Wintermorgens"
"heroes.name_fancy.valentines_matchmaker_dodgrom","Orkischer Partnerschaftsberater"
"heroes.name_fancy.valentines_phthonus","Amor des Neids"
"heroes.name_fancy.valentines_vernon","Amor der Kernbuche"
"heroes.name_fancy.valentines_voluptas","Amor der Lüste"
"heroes.name_fancy.valentines_voluptas_costume_paint","Amor der Maler"
"heroes.name_fancy.valentines_zarola","Amor der Herzensbrecher"
"heroes.name_fancy.valentines_zarola_costume_cowboy","Amor der einsamen Waldläufer"
"heroes.name_fancy.vampire_king","Vampirkönig"
"heroes.name_fancy.vampire_king_costume_mafia","König des Verbrechens"
"heroes.name_fancy.vampire_lord","Vampirscherge"
"heroes.name_fancy.vampire_queen","Kind der Nacht"
"heroes.name_fancy.vegetable_bartholomew","Paprika-Barbar"
"heroes.name_fancy.vegetable_elsbeth","Rübenritter"
"heroes.name_fancy.villain_asterius","Monströser Minotaurus"
"heroes.name_fancy.villain_crystalis","Kristallkaiserin"
"heroes.name_fancy.villain_dark_lord","Fluch von Karemdol"
"heroes.name_fancy.villain_dark_lord_costume_astronomer","Astronom von Karemdol"
"heroes.name_fancy.villain_edd","Dummer Schläger"
"heroes.name_fancy.villain_ingolf","Todgeweihter Hersir"
"heroes.name_fancy.villain_isrod","Todgeweihter Jarl"
"heroes.name_fancy.villain_karnov","Meisterhafter Rabauke"
"heroes.name_fancy.villain_karnov_costume_jammies","Gute-Nacht-Schläger"
"heroes.name_fancy.villain_sanngrior","Gefallene Walküre"
"heroes.name_fancy.villain_skrekok","Rattenmannschurke"
"heroes.name_fancy.villain_toxicandra","Herrscherin von Cerbera"
"heroes.name_fancy.villain_toxicandra_costume_rose","Herrscherin von Flora"
"heroes.name_fancy.wild_cat_catalina","Die Krone des Dschungels"
"heroes.name_fancy.wild_cat_ferni","Abenteuerlustige Regenwaldkatze"
"heroes.name_fancy.wild_cat_gitnib","Vom Pech verfolgter Tiger-Fischer"
"heroes.name_fancy.wild_cat_imagus","Flauschiger Astronom"
"heroes.name_fancy.wild_cat_lennart","Aufmerksamer Rotluchs"
"heroes.name_fancy.wild_cat_leonie","Leor-Überlebender"
"heroes.name_fancy.wild_cat_marnes","Seitenstecher-Panther"
"heroes.name_fancy.wild_cat_rajesh","Gourmand-Tigerhäuptling"
"heroes.name_fancy.wild_cat_rawn","Puma-Einbrecher"
"heroes.name_fancy.wild_cat_savann","Katze des sonnengeküssten Tals"
"heroes.name_fancy.wild_cat_sharalen","Unerbittliche Luchsin der Frontlinien"
"heroes.name_fancy.wild_cat_stravia","Botin der Chentari"
"heroes.name_fancy.wild_cat_thaffer","Gefleckter Panzerknacker"
"heroes.name_fancy.wild_cat_tunes","Bergkatzen-Musikerin"
"heroes.name_fancy.wild_cat_vernix","Schneeleoparden-Magus"
"heroes.name_fancy.witch_king","Meister der Gruften"
"heroes.name_fancy.witch_king_costume_cosmic","Kosmischer Beschwörer"
"heroes.name_fancy.wonderland_alice","Abenteurer des Wunderlandes"
"heroes.name_fancy.wonderland_alice_costume_warping","Krocket-Prinzessin des Wunderlandes"
"heroes.name_fancy.wonderland_bear","Bestie des Wunderlandes"
"heroes.name_fancy.wonderland_captain","Schurke des Wunderlandes"
"heroes.name_fancy.wonderland_cheshire_cat","Mischievous Kitty Cat"
"heroes.name_fancy.wonderland_cheshire_cat_costume_malicious","Bösartige Miezekatze"
"heroes.name_fancy.wonderland_hatter","Rätselspieler des Wunderlandes"
"heroes.name_fancy.wonderland_hatter_costume_tea","Teekenner des Wunderlandes"
"heroes.name_fancy.wonderland_jabberwocky","Horror des Wunderlandes"
"heroes.name_fancy.wonderland_jabberwocky_costume_moth","Jabbermotte"
"heroes.name_fancy.wonderland_knave_of_hearts","Dieb des Wunderlandes"
"heroes.name_fancy.wonderland_phoenicus","Intellektueller des Wunderlands"
"heroes.name_fancy.wonderland_queen","Monarch des Wunderlandes"
"heroes.name_fancy.wonderland_queen_costume_benefactor","Wohltäter des Wunderlandes"
"heroes.name_fancy.wonderland_tweedles","Zwillinge des Wunderlandes"
"heroes.name_fancy.wonderland_white_rabbit","Leiter des Wunderlandes"
"heroes.name_fancy.wonderland_white_rabbit_costume_mask","Maske des Wahnsinns"
