"specials.name.a_cozy_break","Słodka przerwa"
"specials.name.tumbling_dragon","Kaskadujący smok"
"specials.name.tumbling_dragon2","Kaskadujący smok"
"specials.name.turquoise_falcon","Turkusowy sokół"
"specials.name.twilight_of_crimes","Zbrodniczy półmrok"
"specials.name.twilight_of_ruin","Półmrok zepsucia"
"specials.name.twilight_of_sorrow","Świt smutku"
"specials.name.twilight_star_strike","Uderzenie mrocznej gwiazdy"
"specials.name.twilight_tricks","Wieczorne psoty"
"specials.name.twist_of_fate","Tąpnięcie lodowca"
"specials.name.twist_of_fate_minor","Pokrętne przeznaczenie"
"specials.name.twostep_swing","Dwuetapowy zamach"
"specials.name.ultimate_giftsack","Ogromny wór prezentów"
"specials.name.unbreakable_brawler","Niepokonany siepacz"
"specials.name.unbroken_assault","Niezłomne natarcie"
"specials.name.unchained_jaws","Nieokiełznane szczęki"
"specials.name.unchained_jaws_ultimate_boss","Nieokiełznane szczęki"
"specials.name.undead_obliteration","Nieumarły oprawca"
"specials.name.undead_penance_poetic","Nieumarła pokuta"
"specials.name.undead_rage","Strzała magii"
"specials.name.undead_razer","Nieumarły burzyciel"
"specials.name.under_the_surf","Pod falą"
"specials.name.underwater_magma_cube","Podwodna kostka magmy"
"specials.name.underwater_riddle","Podwodna zagadka"
"specials.name.undying_heads","Nieśmiertelne głowy"
"specials.name.undying_heads_ultimate_boss","Głowy hydry"
"specials.name.undying_incantation","Inkantacja nieumarłych"
"specials.name.undying_summon","Wezwanie nieumarłych"
"specials.name.unerring_course","Niezawodny plan"
"specials.name.unfeeling_assailing","Bezduszna napaść"
"specials.name.unhallowed_spirits","Nieuświęcone dusze"
"specials.name.unholy_light","Przeklęte światło"
"specials.name.unholy_power","Przeklęta potęga"
"specials.name.unholy_rain","Przeklęty deszcz"
"specials.name.unite_and_oppose","Sprzeciw i obalenie"
"specials.name.unnatural_pact","Pożeracz witalności"
"specials.name.unrelenting_hunter","Bezlitosny łowca"
"specials.name.unrelenting_riposte","Bezlitosna riposta"
"specials.name.unstoppable_charge","Niepowstrzymana szarża"
"specials.name.unstoppable_growl","Straszliwy pomruk"
"specials.name.unwavering_devotion","Niezachwiane oddanie"
"specials.name.unwavering_devotion_pve","Niezachwiane oddanie"
"specials.name.unwavering_focus","Stalowa koncentracja"
"specials.name.unyielding_protector","Nieugięty obrońca"
"specials.name.unyielding_stance","Niezłomna postawa"
"specials.name.unyielding_sword","Nieustraszony miecz"
"specials.name.urgent_gift_delivery","Pilna dostawa prezentów"
"specials.name.ursine_protection","Niedźwiedzia ochrona"
"specials.name.valiant_lunge","Odważne uderzenie"
"specials.name.valkyrie_charge","Szarża Walkirii"
"specials.name.valkyrie_defense","Obrona Walkirii"
"specials.name.valkyrie_resistance","Opór Walkirii"
"specials.name.valkyrie_rush","Szturm Walkirii"
"specials.name.valkyries_fortitude","Niezłomność walkirii"
"specials.name.valorant_strike","Odważne Uderzenie"
"specials.name.valuable_contribution","Cenny udział"
"specials.name.vampire_killer","Zabójca Wampirów"
"specials.name.vampiric_cleave","Wampiryczne rozszczepienie"
"specials.name.vampiric_curse","Wampiryczna klątwa"
"specials.name.vampiric_heist","Wampiryczna grabież"
"specials.name.vampiric_touch","Wampiryczny dotyk"
"specials.name.vanguard_of_passion","Strażnik namiętności"
"specials.name.vantage_point","Punkt obserwacyjny"
"specials.name.vapors_of_the_underworld","Podziemne wyziewy"
"specials.name.vast_ward","Oddział twardzieli"
"specials.name.vengeance_of_owlhalla","Zemsta Sowiej Walhalli"
"specials.name.vengeful_backstab","Mściwy cios w plecy"
"specials.name.vengeful_scythe","Kosa zemsty"
"specials.name.venom_slash","Jadowite cięcie"
"specials.name.venomfang_concoction","Mikstura z kła jadowego"
"specials.name.venomous_claws","Jadowite szpony"
"specials.name.venomous_jab","Trujące ukłucie"
"specials.name.venomous_spores","Jadowite zarodniki"
"specials.name.venomous_sting_dragon_pve","Jadowite użądlenie"
"specials.name.verdant_mirror","Zielone lustro"
"specials.name.verdant_trap","Zielona pułapka"
"specials.name.vertical_slash","Pionowe cięcie"
"specials.name.vicious_axe","Krwawy topór"
"specials.name.vicious_cyclone","Bezlitosny cyklon"
"specials.name.vicious_strike","Bezlitosny cios"
"specials.name.vicious_trap","Okrutna pułapka"
"specials.name.vigilante_punch","Cios bojownika"
"specials.name.vigorous_aegis","Energiczna egida"
"specials.name.vigorous_villanelle","Energiczna vilanella"
"specials.name.vile_blessing","Klątwa osłabiająca"
"specials.name.villain_swing","Zwrot złoczyńcy"
"specials.name.viper_blade","Ostrze żmii"
"specials.name.viper_blade_costume_bear_slayer","Niedźwiedzie ostrze"
"specials.name.viscous_shield_justico","Lepka tarcza"
"specials.name.vitalizing_show","Energetyzujący spektakl"
"specials.name.vitrail_flames","Witrażowe płomienie"
"specials.name.viziers_curse","Piaskowa wichura"
"specials.name.voice_of_authority","Głos władzy"
"specials.name.void_blast","Uderzenie próżnią"
"specials.name.void_bomb","Bomba pustki"
"specials.name.void_orb_dragon_pve","Kula pustki"
"specials.name.voidshield","Tarcza pustki"
"specials.name.volatile_crystal_conduit","Niestabilny kryształowy przewodnik"
"specials.name.volcanic_blast","Uderzenie wulkaniczne"
"specials.name.volcanic_boulders","Wulkaniczne głazy"
"specials.name.volcanic_eruption","Wybuch wulkanu"
"specials.name.volcanic_explosion","Wybuch wulkaniczny"
"specials.name.volcanic_flareup","Erupcja wulkanu"
"specials.name.volcanic_rush","Wulkaniczny szturm"
"specials.name.volcanic_shell","Wulkaniczna skorupa"
"specials.name.volcanic_tantrum","Kreskówkowy wybuch"
"specials.name.voluminous_vigor","Olbrzymi wigor"
"specials.name.wall_of_ice","Ściana lodu"
"specials.name.wall_of_ki","Ściana Ki"
"specials.name.wall_of_ki2","Ściana Ki"
"specials.name.wall_of_swords","Mur mieczy"
"specials.name.wallet_pulverizer","Niszczący abakus"
"specials.name.wand_of_mana_control","Różdżka Kontroli Many"
"specials.name.wand_of_mana_trickery","Różdżka magicznej manipulacji"
"specials.name.wandering_star_shot","Zbłąkany gwiezdny pocisk"
"specials.name.war_feast","Uczta wojenna"
"specials.name.war_song","Pieśń wojenna"
"specials.name.warcry","Okrzyk bitewny"
"specials.name.warcry_of_the_hunt","Zew łowów"
"specials.name.warcry_of_the_jungle","Okrzyk bitewny dżungli"
"specials.name.warding_off_evil","Przepędzenie zła"
"specials.name.warped_timepiece","Odkształcenie Czasu"
"specials.name.watchful_duty","Czujna służba"
"specials.name.water_jet_dragon_pve","Wodny strumień"
"specials.name.waters_of_nourishment","Życiodajne wody"
"specials.name.watery_grave","Wodnisty grób"
"specials.name.weakening_strike","Osłabiające uderzenie"
"specials.name.web_of_spies","Sieć szpiegów"
"specials.name.welding_sweep_dragon_pve","Zespalający wymach"
"specials.name.whimsical_aid","Kapryśne wsparcie"
"specials.name.whirlpool","Wir"
"specials.name.whirlpool_dash","Wirowy doskok"
"specials.name.whirlwind_blows","Wirujące ciosy"
"specials.name.whispers_of_xulu","Szepty Xulu"
"specials.name.whiteout","Zamieć"
"specials.name.wicked_witchcraft","Nikczemne gusła"
"specials.name.wide_slash","Zamaszyste cięcie"
"specials.name.widows_kiss","Pocałunek wdowy"
"specials.name.wild_cleave","Dzikie rozszczepienie"
"specials.name.wild_growth","Dzika narośl"
"specials.name.will_of_fire","Wola ognia"
"specials.name.wily_wisps","Chytre wiązki"
"specials.name.wind_gospel","Pieśń wiatru"
"specials.name.wind_prayer","Modlitwa wiatru"
"specials.name.wings_of_destruction_pve","Skrzydła zniszczenia"
"specials.name.wings_of_force","Skrzydła mocy"
"specials.name.wings_of_frost","Skrzydła mrozu"
"specials.name.wings_of_laceration","Skrzydła rozdarcia"
"specials.name.wings_of_recovery","Skrzydła odnowy"
"specials.name.wings_of_shadow","Skrzydła cienia"
"specials.name.wings_of_thorn","Skrzydła cierni"
"specials.name.wisdom_of_the_gnomes","Mądrość gnomów"
"specials.name.wise_mans_counsel","Porada mędrca"
"specials.name.witch_killer","Zabójca wiedźm"
"specials.name.witch_slayer","Pogromca wiedźm"
"specials.name.withering_seasons","Upalne pory roku"
"specials.name.wolf_bite","Ugryzienie wilka"
"specials.name.word_of_queen","Słowo królowej"
"specials.name.word_of_skies","Słowo niebios"
"specials.name.worm_bite","Ukąszenie czerwia"
"specials.name.wounding_strike","Raniące uderzenie"
"specials.name.wrap","Oplot"
"specials.name.wrath_of_fate","Gniew losu"
"specials.name.wrath_of_frozen_soul","Gniew mroźnej duszy"
"specials.name.wrath_of_the_ancient","Gniew pradawnych"
"specials.name.wrath_of_the_nine_beaks","Gniew dziewięciu dziobów"
"specials.name.wrath_of_tundra","Gniew tundry"
"specials.name.wrathful_sting","Wściekłe ukąszenie"
"specials.name.wrenching_strike","Bolesne uderzenie"
"specials.name.xenda_special","Podziemny płomień"
"specials.name.xenda_special_costume","Płomień podziemi"
"specials.name.yellow_beetloid_bite","Ukąszenie żółtego żukoida"
"specials.name.yellow_signs","Żółte insygnia"
"specials.name.yurei","Yurei"
"specials.name.zombie_curse","Błogosławieństwo zombie"
"specials.name.zombie_invocation","Przywołanie zombie"
"specials.name.zooming_lunge","Śmigający wypad"
