"heroes.name_fancy.astral_cosmicspeaker","Gök Bilimcisi Astral Elf"
"heroes.name_fancy.tales1_atlanteia_costume_siren","Derinlerin Buzul Sireni"
"heroes.name_fancy.tales1_bagreg","Balık Adam Çatışma Lideri"
"heroes.name_fancy.tales1_bagreg_costume_scout","Balık Çocuk Gözcü"
"heroes.name_fancy.tales1_ceto","Deniz Canavarlarının İlkel Tanrıçası"
"heroes.name_fancy.tales1_ceto_costume_queen","Deniz Canavarlarının İlkel Kraliçesi"
"heroes.name_fancy.tales1_domiventus","Ölümsüz Derin Deniz Varlığı"
"heroes.name_fancy.tales1_domiventus_costume_supreme","Yüce Derin Deniz Varlığı"
"heroes.name_fancy.tales1_ephyra","Nereid Prensesi"
"heroes.name_fancy.tales1_ephyra_costume_reef","Resifin Prensesi"
"heroes.name_fancy.tales1_galapago","Okyanusları Mahir Bilgesi"
"heroes.name_fancy.tales1_galapago_costume_quarry","Taş Ocağının Bilgin Memuru"
"heroes.name_fancy.tales1_gelert","Derinliklerin Hazine Avcısı"
"heroes.name_fancy.tales1_gelert_costume_scavenger","Derinliklerin Toplayıcısı"
"heroes.name_fancy.tales1_gestalt","Sonsuz Derinliğin Prensi"
"heroes.name_fancy.tales1_gestalt_costume_pearls","Sonsuz İncilerin Prensi"
"heroes.name_fancy.tales1_jaco","Derinliklerin Şüpheli Tüccarı"
"heroes.name_fancy.tales1_jaco_costume_alchemist","Derinlerin Tehlikeli Simyacısı"
"heroes.name_fancy.tales1_lasalle","Atlantis'in Gösterişli Süvari Eri"
"heroes.name_fancy.tales1_lasalle_costume_jockey","Atlantis'in Gösterişli Binicisi"
"heroes.name_fancy.tales1_medea","Derinlerin Naga Kraliçesi"
"heroes.name_fancy.tales1_medea_costume_goddess","Derinlerin Naga Tanrıçası"
"heroes.name_fancy.tales1_mulgog","Yağmacı Balık Adam"
"heroes.name_fancy.tales1_mulgog_costume_bard","Balık Adam Ozan"
"heroes.name_fancy.tales1_persa","Yağmacı Su Ruhu"
"heroes.name_fancy.tales1_persa_costume_jellyfish_noble","Deniz Anası Soylusu"
"heroes.name_fancy.tales1_phorcys","Derinliklerin İlkel Tanrısı"
"heroes.name_fancy.tales1_phorcys_costume_warrior_god","Derinliklerin Savaşçı Tanrısı"
"heroes.name_fancy.tales1_sharkhai","Büyük Hain"
"heroes.name_fancy.tales1_sharkhai_costume_butcher","Dişli Kasap"
"heroes.name_fancy.tales1_spartoi","Vahşi Naga"
"heroes.name_fancy.tales1_spartoi_costume_guard","Naga Muhafız"
"heroes.name_fancy.tales1_thalassa","Okyanusların İlkel Tanrıçası"
"heroes.name_fancy.tales1_thalassa_costume_crystals","Kristallerin İlkel Tanrıçası"
"heroes.name_fancy.tales1_ultrox","Derinliklerin Tapınak Bekçisi"
"heroes.name_fancy.tales1_ultrox_costume_ethereal","Derinliklerin Cadısı"
"heroes.name_fancy.tales2_aethslegaur","Cüce Ateş Arayıcısı"
"heroes.name_fancy.tales2_andvari","Cüce Kahin"
"heroes.name_fancy.tales2_bragi","Cüce Profesyonel Boksör"
"heroes.name_fancy.tales2_bryggvir","Cüce Keçi Binicisi"
"heroes.name_fancy.tales2_dagr","Cüce Dağ Şamanı"
"heroes.name_fancy.tales2_dain","Cüce Kuşatma Ustası"
"heroes.name_fancy.tales2_dularfulr","Cüce Karanlık Kahin"
"heroes.name_fancy.tales2_fafnir","Cüce Myrkheim Lordu"
"heroes.name_fancy.tales2_fimafeng","Mücadeleci Cüce"
"heroes.name_fancy.tales2_fjalar","Cüce Altın Ozanı"
"heroes.name_fancy.tales2_fjalar_costume_undead","Cüce Hayalet Ozan"
"heroes.name_fancy.tales2_gandr","Cüce Rüzgar Savaşçısı"
"heroes.name_fancy.tales2_gandr_costume_guardian","Cüce Kraliyet Askeri"
"heroes.name_fancy.tales2_helgi","Cüce Öfke Koşucusu"
"heroes.name_fancy.tales2_helgi_costume_combatant","Cüce Yenileyen"
"heroes.name_fancy.tales2_hogne","Cüce Büyük Şövalye"
"heroes.name_fancy.tales2_hreidmarr","Cüce Dağ Kralı"
"heroes.name_fancy.tales2_motsognir","Sınır Yabanılı Cüce"
"heroes.name_fancy.tales2_ott","Cüce Neşeli Hilebaz"
"heroes.name_fancy.tales2_ott_costume_herbalist","Cüce Üstat Hilebaz"
"heroes.name_fancy.tales2_regin","Cüce Masalsı Prens"
"heroes.name_fancy.tales2_regin_costume_omen","Cüce Düşmüş Prens"
"heroes.name_fancy.tales2_snorri","Hikayeci Cüce"
"heroes.name_fancy.tales2_svafa","Büyük Hayvan Avcısı Cüce"
"heroes.name_fancy.tales2_thrivaldi","Cüce Ayaz Avcısı"
"heroes.name_fancy.trainer","Kiralık Kılıç"
"heroes.name_fancy.tribal_chief","Kabile Reisi"
"heroes.name_fancy.tribal_chief_costume_conqueror","Kabilelerin İntikamcısı"
"heroes.name_fancy.tribal_chief_costume_cute","Çizgi Reis"
"heroes.name_fancy.tribal_chief_costume_glass","Vitrayların Şefi"
"heroes.name_fancy.tribal_chief_costume_leopard","Leoparların Reisi"
"heroes.name_fancy.undead_captain_warrior","Ölümüne Bağlı Lord"
"heroes.name_fancy.undead_captain_warrior_costume_cute","Ölüme Bağlı Çizgi"
"heroes.name_fancy.undead_captain_warrior_costume_glass","Ölüme Mahkum Vitray"
"heroes.name_fancy.undead_captain_warrior_costume_prince","Ölümsüz Prens"
"heroes.name_fancy.undead_captain_warrior_costume_reveller","Ölüme Mahkum Eğlence Düşkünü"
"heroes.name_fancy.undead_female_warrior","Ölümüne Bağlı Hanım"
"heroes.name_fancy.undead_female_warrior_costume_cute","Ölümsüz Çizgi"
"heroes.name_fancy.undead_female_warrior_costume_glass","Ölüme Mahkum Vitray"
"heroes.name_fancy.undead_female_warrior_costume_princess","Ölümsüz Prenses"
"heroes.name_fancy.undead_female_warrior_costume_rococo","Ölüme Mahkum Prenses"
"heroes.name_fancy.undead_horned_skeleton","Acımasız Kalıntı"
"heroes.name_fancy.undead_horned_skeleton_costume_cute","Acımasız Çizgi"
"heroes.name_fancy.undead_horned_skeleton_costume_fool","Soytarı Kalıntısı"
"heroes.name_fancy.undead_horned_skeleton_costume_glass","Acımasız Vitray"
"heroes.name_fancy.undead_running_skeleton","Ciddi Kalıntı"
"heroes.name_fancy.undead_running_skeleton_costume_cute","Ciddi Çizgi"
"heroes.name_fancy.undead_running_skeleton_costume_glass","Cam Kalıntı"
"heroes.name_fancy.undead_running_skeleton_costume_roman","Roma Kalıntısı"
"heroes.name_fancy.undead_screaming_zombie","Paytak Kalıntı"
"heroes.name_fancy.underworld_champion","Praetoryen Fedai"
"heroes.name_fancy.underworld_champion_costume_champion","Praetoryen Gladyatör"
"heroes.name_fancy.underworld_champion_costume_cute","Praetoryen Çizgi Film"
"heroes.name_fancy.underworld_champion_costume_glass","Praetoryen Vitray"
"heroes.name_fancy.underworld_champion_costume_vampire","Praetoryen Vampir"
"heroes.name_fancy.valentines_anteros","Aşk Meleği Geri Döndü"
"heroes.name_fancy.valentines_cupido","Sevgi Meleği"
"heroes.name_fancy.valentines_elba","Aşkın Yiğit Koruyucusu"
"heroes.name_fancy.valentines_eros","Arzu Meleği"
"heroes.name_fancy.valentines_himeros","Karşılıksız Aşk Meleği"
"heroes.name_fancy.valentines_kabeiroi","Sevdalı Mekanik Meraklısı"
"heroes.name_fancy.valentines_matchmaker_dodgrom","Orcish Flört Danışmanı"
"heroes.name_fancy.valentines_phthonus","Kıskançlık Meleği"
"heroes.name_fancy.valentines_voluptas","Keyif Meleği"
"heroes.name_fancy.valentines_zarola","Kalp Kıranların Meleği"
"heroes.name_fancy.vampire_king","Vampir Kralı"
"heroes.name_fancy.vampire_king_costume_mafia","Suç Kralı"
"heroes.name_fancy.vampire_lord","Vampir Uşağı"
"heroes.name_fancy.vampire_queen","Gecenin Çocuğu"
"heroes.name_fancy.vegetable_bartholomew","Dolma Biber Barbar"
"heroes.name_fancy.vegetable_elsbeth","Pancar Şövalyesi"
"heroes.name_fancy.villain_asterius","Canavar Minotor"
"heroes.name_fancy.villain_crystalis","Kristal İmparatoriçe"
"heroes.name_fancy.villain_dark_lord","Karemdol Yıkımı"
"heroes.name_fancy.villain_dark_lord_costume_astronomer","Karemdol Gök Bilimcisi"
"heroes.name_fancy.villain_edd","Kalın Kafalı Haydut"
"heroes.name_fancy.villain_ingolf","Mahkum Hersir"
"heroes.name_fancy.villain_isrod","Mahkum Jarl"
"heroes.name_fancy.villain_karnov","Şampiyon Boksör"
"heroes.name_fancy.villain_karnov_costume_jammies","Uykuya Yatıran Boksör"
"heroes.name_fancy.villain_sanngrior","Düşmüş Valkür"
"heroes.name_fancy.villain_skrekok","Fare Adam Scoundrel"
"heroes.name_fancy.villain_toxicandra","Cerbera Hükümdarı"
"heroes.name_fancy.villain_toxicandra_costume_rose","Çiçeklerin Hükümdarı"
"heroes.name_fancy.wild_cat_catalina","Ormanın Tacı"
"heroes.name_fancy.wild_cat_ferni","Maceracı Yağmur Ormanı Kedisi"
"heroes.name_fancy.wild_cat_imagus","Tüylü Takımyıldızcı"
"heroes.name_fancy.wild_cat_lennart","Keskin Gözlü Vaşak"
"heroes.name_fancy.wild_cat_leonie","Leor Hayatta Kalanı"
"heroes.name_fancy.wild_cat_marnes","Yandan Bıçaklayan Panter"
"heroes.name_fancy.wild_cat_rajesh","Gurme Dicle Şefi"
"heroes.name_fancy.wild_cat_stravia","Chentari'nin Elçisi"
"heroes.name_fancy.wild_cat_thaffer","Tekir Kasa Hırsızı"
"heroes.name_fancy.wild_cat_tunes","Müzisyen Dağ Kedisi"
"heroes.name_fancy.wild_cat_vernix","Kar Leoparı Büyücü"
"heroes.name_fancy.witch_king","Mezarlık Ustası"
"heroes.name_fancy.witch_king_costume_cosmic","Kozmik Büyücü"
"heroes.name_fancy.wonderland_alice","Harikalar Diyarı Maceracısı"
"heroes.name_fancy.wonderland_alice_costume_warping","Harikalar Diyarının Kroket Prensesi"
"heroes.name_fancy.wonderland_bear","Harikalar Diyarı Ayısı"
"heroes.name_fancy.wonderland_captain","Harikalar Diyarı Valesi"
"heroes.name_fancy.wonderland_cheshire_cat","Yaramaz Kedicik"
"heroes.name_fancy.wonderland_cheshire_cat_costume_malicious","Kötücül Kedicik"
"heroes.name_fancy.wonderland_hatter","Harikalar Diyarı Bilmecesi"
"heroes.name_fancy.wonderland_hatter_costume_tea","Harikalar Diyarının Çay Tadımcısı"
"heroes.name_fancy.wonderland_jabberwocky","Harikalar Diyarı'nın Dehşeti"
"heroes.name_fancy.wonderland_jabberwocky_costume_moth","Jabbermoth"
"heroes.name_fancy.wonderland_knave_of_hearts","Harikalar Diyarının Hırsızı"
"heroes.name_fancy.wonderland_phoenicus","Harikalar Diyarı'nın Aklı"
"heroes.name_fancy.wonderland_queen","Harikalar Diyarı'nın Hükumdarı"
"heroes.name_fancy.wonderland_queen_costume_benefactor","Harikalar Diyarının Velinimeti"
"heroes.name_fancy.wonderland_tweedles","Harikalar Diyarının İkizleri"
"heroes.name_fancy.wonderland_white_rabbit","Harikalar Diyarı Rehberi"
"heroes.name_fancy.wonderland_white_rabbit_costume_mask","Delilik Maskesi"
