"heroes.name_fancy.astral_cosmicspeaker","Stjärnalvernas astronom"
"heroes.name_fancy.wild_cat_imagus","Fluffig astronom"
"heroes.name_fancy.wild_cat_lennart","Skarpögt lodjur"
"heroes.name_fancy.wild_cat_leonie","Leoröverlevare"
"heroes.name_fancy.wild_cat_marnes","Flankhuggande panter"
"heroes.name_fancy.wild_cat_rajesh","Kulinarisk Tigris-hövding"
"heroes.name_fancy.wild_cat_stravia","Chentariernas budbärare"
"heroes.name_fancy.wild_cat_thaffer","Kassaskåpsknäckande tabby"
"heroes.name_fancy.wild_cat_tunes","Bergskattmusiker"
"heroes.name_fancy.wild_cat_vernix","Snöleopardmagiker"
"heroes.name_fancy.witch_king","Kryptomästare"
"heroes.name_fancy.witch_king_costume_cosmic","Kosmisk besvärjare"
"heroes.name_fancy.wonderland_alice","Underlandets äventyrare"
"heroes.name_fancy.wonderland_alice_costume_warping","Underlandets krocketprinsessa"
"heroes.name_fancy.wonderland_bear","Underlandets best"
"heroes.name_fancy.wonderland_captain","Underlandets knekt"
"heroes.name_fancy.wonderland_cheshire_cat","Lurig katt"
"heroes.name_fancy.wonderland_cheshire_cat_costume_malicious","Ondskefull kissemiss"
"heroes.name_fancy.wonderland_hatter","Underlandets gåtmakare"
"heroes.name_fancy.wonderland_hatter_costume_tea","Underlandets tekännare"
"heroes.name_fancy.wonderland_jabberwocky","Underlandets skräck"
"heroes.name_fancy.wonderland_jabberwocky_costume_moth","Jabbermoth"
"heroes.name_fancy.wonderland_knave_of_hearts","Underlandets tjuv"
"heroes.name_fancy.wonderland_phoenicus","Underlandets intellekt"
"heroes.name_fancy.wonderland_queen","Underlandets monark"
"heroes.name_fancy.wonderland_queen_costume_benefactor","Underlandets välgörare"
"heroes.name_fancy.wonderland_tweedles","Tvillingar från underlandet"
"heroes.name_fancy.wonderland_white_rabbit","Underlandets vägvisare"
"heroes.name_fancy.wonderland_white_rabbit_costume_mask","Galenskapens mask"
