"specials.name.a_cozy_break","Una pausa confortevole"
"specials.name.tricksters_mischief","Misfatto dell'imbroglione"
"specials.name.tricksters_negative","Congelamento"
"specials.name.tricksters_transformation","Trasformazione dell'Ingannatore"
"specials.name.triple_stab","Tripla pugnalata"
"specials.name.triumph_of_strategy","Trionfo della strategia"
"specials.name.tropical_ambush","Agguato tropicale"
"specials.name.tumbling_dragon","Drago rotolante"
"specials.name.tumbling_dragon2","Drago rotolante"
"specials.name.turquoise_falcon","Falco turchese"
"specials.name.twilight_of_crimes","Crepuscolo dei crimini"
"specials.name.twilight_of_ruin","Crepuscolo della rovina"
"specials.name.twilight_of_sorrow","Crepuscolo di dolore"
"specials.name.twilight_star_strike","Colpo della stella crepuscolare"
"specials.name.twilight_tricks","Inganni crepuscolari"
"specials.name.twist_of_fate","Svolta del fato"
"specials.name.twist_of_fate_minor","Fato contorto"
"specials.name.twostep_swing","Altalena a due fasi"
"specials.name.ultimate_giftsack","Sacchetto di doni definitivo"
"specials.name.unbreakable_brawler","Attaccabrighe indistruttibile"
"specials.name.unbroken_assault","Assalto ininterrotto"
"specials.name.unchained_jaws","Fauci scatenate"
"specials.name.unchained_jaws_ultimate_boss","Fauci scatenate"
"specials.name.undead_obliteration","Obliteratore non-morto"
"specials.name.undead_penance_poetic","Penitenza dei non morti"
"specials.name.undead_rage","Freccia dello scongiuro"
"specials.name.undead_razer","Pugno non-morto"
"specials.name.under_the_surf","Sotto la superficie"
"specials.name.underwater_magma_cube","Cubo di magma subacqueo"
"specials.name.underwater_riddle","Enigma subacqueo"
"specials.name.undying_heads","Teste non morte"
"specials.name.undying_heads_ultimate_boss","Teste di idra"
"specials.name.undying_incantation","Incantesimo degli imperituri"
"specials.name.undying_summon","Evocazione degli imperituri"
"specials.name.unerring_course","Rotta infallibile"
"specials.name.unfeeling_assailing","Assalto dell'insensibilità"
"specials.name.unhallowed_spirits","Spiriti empi"
"specials.name.unholy_light","Luce empia"
"specials.name.unholy_power","Potere empio"
"specials.name.unholy_rain","Pioggia empia"
"specials.name.unite_and_oppose","Opponi e rovescia"
"specials.name.unnatural_pact","Divoratore di vitalità"
"specials.name.unrelenting_hunter","Cacciatore implacabile"
"specials.name.unrelenting_riposte","Risposta implacabile"
"specials.name.unstoppable_charge","Carica inarrestabile"
"specials.name.unstoppable_growl","Ringhio inarrestabile"
"specials.name.unwavering_devotion","Devozione incrollabile"
"specials.name.unwavering_devotion_pve","Devozione incrollabile"
"specials.name.unwavering_focus","Concentrazione profonda"
"specials.name.unyielding_protector","Protettore inflessibile"
"specials.name.unyielding_stance","Posizione incrollabile"
"specials.name.unyielding_sword","Spada irriducibile"
"specials.name.urgent_gift_delivery","Consegna urgente"
"specials.name.ursine_protection","Protezione ursina"
"specials.name.valiant_lunge","Affondo valoroso"
"specials.name.valkyrie_charge","Carica delle Valchirie"
"specials.name.valkyrie_defense","Difesa delle Valchirie"
"specials.name.valkyrie_resistance","Resistenza delle Valchirie"
"specials.name.valkyrie_rush","Corsa delle Valchirie"
"specials.name.valkyries_fortitude","Fermezza della valchiria"
"specials.name.valorant_strike","Colpo valoroso"
"specials.name.valuable_contribution","Contributo prezioso"
"specials.name.vampire_killer","Ammazzavampiri"
"specials.name.vampiric_cleave","Fendente vampirico"
"specials.name.vampiric_curse","Maledizione vampirica"
"specials.name.vampiric_heist","Rapina vampirica"
"specials.name.vampiric_touch","Tocco vampiresco"
"specials.name.vanguard_of_passion","Avanguardia della passione"
"specials.name.vantage_point","Punto di vantaggio"
"specials.name.vapors_of_the_underworld","Vapori degli Inferi"
"specials.name.vast_ward","Solida tutela"
"specials.name.vengeance_of_owlhalla","Vendetta del Gufhalla"
"specials.name.vengeful_backstab","Pugnalata vendicativa"
"specials.name.vengeful_scythe","Falce vendicativa"
"specials.name.venom_guard","Guardia velenosa"
"specials.name.venom_slash","Fendente velenoso"
"specials.name.venomfang_concoction","Pozione di zanna velenosa"
"specials.name.venomous_claws","Artigli velenosi"
"specials.name.venomous_jab","Affondo velenoso"
"specials.name.venomous_spores","Spore velenose"
"specials.name.venomous_sting_dragon_pve","Pungiglione velenoso"
"specials.name.verdant_mirror","Specchio verdeggiante"
"specials.name.verdant_trap","Trappola verdeggiante"
"specials.name.vertical_slash","Colpo verticale"
"specials.name.vicious_axe","Ascia viziosa"
"specials.name.vicious_cyclone","Ciclone vizioso"
"specials.name.vicious_strike","Colpo feroce"
"specials.name.vicious_trap","Trappola viziosa"
"specials.name.vigilante_punch","Pugno del vigilante"
"specials.name.vigorous_aegis","Egida vigorosa"
"specials.name.vigorous_villanelle","Villanella vigorosa"
"specials.name.vile_blessing","Maledizione debilitante"
"specials.name.villain_swing","Oscillazione malefica"
"specials.name.viper_blade","Lama della vipera"
"specials.name.viper_blade_costume_bear_slayer","Lama dell'orso"
"specials.name.viscous_shield_justico","Scudo viscoso"
"specials.name.vitalizing_show","Spettacolo vitalizzante"
"specials.name.vitrail_flames","Fiamme di Vitrail"
"specials.name.viziers_curse","Bufera di sabbia"
"specials.name.voice_of_authority","Voce dell'autorità"
"specials.name.void_blast","Colpo nullo"
"specials.name.void_bomb","Bomba del vuoto"
"specials.name.void_orb_dragon_pve","Orbita del vuoto"
"specials.name.voidshield","Scudo del vuoto"
"specials.name.volatile_crystal_conduit","Freccia di cristallo instabile"
"specials.name.volcanic_blast","Impatto vulcanico"
"specials.name.volcanic_boulders","Massi vulcanici"
"specials.name.volcanic_eruption","Eruzione vulcanica"
"specials.name.volcanic_explosion","Esplosione vulcanica"
"specials.name.volcanic_flareup","Scoppio vulcanico"
"specials.name.volcanic_rush","Furia vulcanica"
"specials.name.volcanic_shell","Guscio vulcanico"
"specials.name.volcanic_tantrum","Esplosione cartone"
"specials.name.volley_of_dark_stars","Scarica di stelle oscure"
"specials.name.voluminous_vigor","Vigore voluminoso"
"specials.name.wall_of_ice","Muro di ghiaccio"
"specials.name.wall_of_ki","Muro del Ki"
"specials.name.wall_of_ki2","Muro del Ki"
"specials.name.wall_of_swords","Muro di spade"
"specials.name.wallet_pulverizer","Abaco polverizzante"
"specials.name.wand_of_mana_control","Bacchetta del controllo del mana"
"specials.name.wand_of_mana_trickery","Bacchetta truffaldina del mana"
"specials.name.wandering_star_shot","Tiro della stella errante"
"specials.name.war_feast","Banchetto di guerra"
"specials.name.war_song","Canto di guerra"
"specials.name.warcry","Urlo di guerra"
"specials.name.warcry_of_the_hunt","Grido di guerra della caccia"
"specials.name.warcry_of_the_jungle","Grido di guerra della giungla"
"specials.name.warding_off_evil","Scongiurare il male"
"specials.name.warped_timepiece","Orologio deformato"
"specials.name.watchful_duty","Dovere vigile"
"specials.name.water_jet_dragon_pve","Getto d'acqua"
"specials.name.waters_of_nourishment","Acque del nutrimento"
"specials.name.watery_grave","Tomba bagnata"
"specials.name.weakening_strike","Colpo indebolente"
"specials.name.web_of_spies","Tela di spie"
"specials.name.welding_sweep_dragon_pve","Spazzata saldatrice"
"specials.name.whimsical_aid","Aiuto estroso"
"specials.name.whirlpool","Vortice"
"specials.name.whirlpool_dash","Attacco del mulinello"
"specials.name.whirlwind_blows","Colpi di vortice"
"specials.name.whispers_of_xulu","Sussurri di Xulu"
"specials.name.whiteout","Tempesta tagliente"
"specials.name.wicked_witchcraft","Stregoneria malvagia"
"specials.name.wide_slash","Fendente ampio"
"specials.name.widows_kiss","Bacio della vedova"
"specials.name.wild_cleave","Fendente selvaggio"
"specials.name.wild_growth","Crescita selvaggia"
"specials.name.will_of_fire","Volontà di fuoco"
"specials.name.wily_wisps","Fuochi fatui fatali"
"specials.name.wind_gospel","Vangelo del vento"
"specials.name.wind_prayer","Preghiera del vento"
"specials.name.wings_of_destruction_pve","Ali di distruzione"
"specials.name.wings_of_force","Ali della forza"
"specials.name.wings_of_frost","Ali del gelo"
"specials.name.wings_of_laceration","Ali della lacerazione"
"specials.name.wings_of_recovery","Ali del recupero"
"specials.name.wings_of_shadow","Ali dell'ombra"
"specials.name.wings_of_thorn","Ali della spina"
"specials.name.wisdom_of_the_gnomes","Saggezza degli gnomi"
"specials.name.wise_mans_counsel","Consiglio del saggio"
"specials.name.witch_killer","Killer di streghe"
"specials.name.witch_slayer","Assassino di streghe"
"specials.name.withering_seasons","Stagioni appassite"
"specials.name.wolf_bite","Morso del lupo"
"specials.name.word_of_queen","Parola di Regina"
"specials.name.word_of_skies","Parola dei Cieli"
"specials.name.worm_bite","Morso del bruco"
"specials.name.wounding_strike","Colpo feritore"
"specials.name.wrap","Avvolgi"
"specials.name.wrath_of_fate","Ira del destino"
"specials.name.wrath_of_frozen_soul","Ira dell'anima ghiacciata"
"specials.name.wrath_of_the_ancient","Ira degli antichi"
"specials.name.wrath_of_the_nine_beaks","Ira dei nove becchi"
"specials.name.wrath_of_tundra","Ira della tundra"
"specials.name.wrathful_sting","Pungolo iracondo"
"specials.name.wrenching_strike","Colpo devastante"
"specials.name.xenda_special","Fiamma degli Inferi"
"specials.name.xenda_special_costume","Fiamma degli Inferi"
"specials.name.yellow_beetloid_bite","Morso dello scarafoide giallo"
"specials.name.yellow_signs","Segni gialli"
"specials.name.yurei","Yurei"
"specials.name.zombie_curse","Benedizione zombi"
"specials.name.zombie_invocation","Invocazione zombi"
"specials.name.zooming_lunge","Affondo impennante"
