"specials.name.a_cozy_break","En koselig pause"
"specials.name.whiteout","Blending"
"specials.name.wicked_witchcraft","Ond heksekraft"
"specials.name.wide_slash","Bredt hugg"
"specials.name.widows_kiss","Enkens kyss"
"specials.name.wild_cleave","Vill kløyving"
"specials.name.wild_growth","Villvokst"
"specials.name.will_of_fire","Ildvilje"
"specials.name.wily_wisps","Wily Wisps"
"specials.name.wind_gospel","Vindevangelium"
"specials.name.wind_prayer","Vindbønn"
"specials.name.wings_of_destruction_pve","Ødeleggende vinger"
"specials.name.wings_of_force","Vingenes kraft"
"specials.name.wings_of_frost","Frostvinger"
"specials.name.wings_of_laceration","Flerrevinger"
"specials.name.wings_of_recovery","Innhentingsvinger"
"specials.name.wings_of_shadow","Skyggevinger"
"specials.name.wings_of_thorn","Tornevinger"
"specials.name.wisdom_of_the_gnomes","Gnomenes visdom"
"specials.name.wise_mans_counsel","Klok manns råd"
"specials.name.witch_killer","Heksemorder"
"specials.name.witch_slayer","Heksejeger"
"specials.name.withering_seasons","Sviende tider"
"specials.name.wolf_bite","Ulvebitt"
"specials.name.word_of_queen","Dronningens ord"
"specials.name.word_of_skies","Ord fra himmelen"
"specials.name.worm_bite","Larvebitt"
"specials.name.wounding_strike","Sårende angrep"
"specials.name.wrap","Pakk"
"specials.name.wrath_of_fate","Skjebnens raseri"
"specials.name.wrath_of_frozen_soul","Frossen sjels raseri"
"specials.name.wrath_of_the_ancient","Den gamles vrede"
"specials.name.wrath_of_the_nine_beaks","De ni nebbs sinne"
"specials.name.wrath_of_tundra","Tundraens vrede"
"specials.name.wrathful_sting","Vredens stikk"
"specials.name.wrenching_strike","Vridningsslag"
"specials.name.xenda_special","Underverdenflamme"
"specials.name.xenda_special_costume","Underverdenflamme"
"specials.name.yellow_beetloid_bite","Gult billoid-bitt"
"specials.name.yellow_signs","Gule tegn"
"specials.name.yurei","Yurei"
"specials.name.zombie_curse","Zombie-velsignelse"
"specials.name.zombie_invocation","Zombie-påkalling"
"specials.name.zooming_lunge","Susende hopp"
