"specials.name.a_cozy_break","Miellyttävä tauko"
"specials.name.unstoppable_growl","Pysäyttämätön murina"
"specials.name.unwavering_devotion","Vankkumaton usko"
"specials.name.unwavering_devotion_pve","Vankkumaton usko"
"specials.name.unwavering_focus","Vankkumaton keskittyminen"
"specials.name.unyielding_protector","Taipumaton suojelija"
"specials.name.unyielding_sword","Taipumaton miekka"
"specials.name.ursine_protection","Karhun turva"
"specials.name.valiant_lunge","Urhoollinen pisto"
"specials.name.valkyrie_charge","Valkyrian hyökkäys"
"specials.name.valkyrie_defense","Valkyrian puolustus"
"specials.name.valkyrie_resistance","Valkyrian vastarinta"
"specials.name.valkyrie_rush","Valkyrian kiire"
"specials.name.valkyries_fortitude","Valkyrian sisu"
"specials.name.valorant_strike","Urhea isku"
"specials.name.valuable_contribution","Arvokas tuki"
"specials.name.vampire_killer","Vampyyrintappaja"
"specials.name.vampiric_cleave","Vampyyrin viilto"
"specials.name.vampiric_curse","Vampyyrin kirous"
"specials.name.vampiric_heist","Vampyyrin ryöstö"
"specials.name.vampiric_touch","Vampyyrin kosketus"
"specials.name.vanguard_of_passion","Intohimon etujoukko"
"specials.name.vantage_point","Tähystyspaikka"
"specials.name.vapors_of_the_underworld","Alamaailman huurut"
"specials.name.vast_ward","Vankka suoja"
"specials.name.vengeance_of_owlhalla","Pöllövalhallan kosto"
"specials.name.vengeful_backstab","Kostava selkäänpuukotus"
"specials.name.vengeful_scythe","Kostava viikate"
"specials.name.venom_slash","Myrkyllinen sivallus"
"specials.name.venomfang_concoction","Myrkkyhammassekoitus"
"specials.name.venomous_claws","Myrkkykynnet"
"specials.name.venomous_jab","Myrkyllinen pisto"
"specials.name.venomous_spores","Myrkkyitiöt"
"specials.name.venomous_sting_dragon_pve","Myrkkypisto"
"specials.name.verdant_mirror","Vehmas peili"
"specials.name.verdant_trap","Vehmas ansa"
"specials.name.vertical_slash","Pystysuora sivallus"
"specials.name.vicious_axe","Hurja kirveenisku"
"specials.name.vicious_cyclone","Hurja sykloni"
"specials.name.vicious_strike","Hurja isku"
"specials.name.vicious_trap","Hurja ansa"
"specials.name.vigilante_punch","Vigilantin lyönti"
"specials.name.vigorous_aegis","Vankkumaton suoja"
"specials.name.vigorous_villanelle","Vimmattu villanelle"
"specials.name.vile_blessing","Heikentävä kirous"
"specials.name.villain_swing","Konnan huitaisu"
"specials.name.viper_blade","Kyyn miekka"
"specials.name.viper_blade_costume_bear_slayer","Karhumiekka"
"specials.name.viscous_shield_justico","Tahmea kilpi"
"specials.name.vitalizing_show","Elvyttävä spektaakkeli"
"specials.name.vitrail_flames","Lasimaalauksen liekit"
"specials.name.viziers_curse","Hiekkapuhuri"
"specials.name.voice_of_authority","Arvovaltainen ääni"
"specials.name.void_blast","Tyhjiöräjähdys"
"specials.name.void_bomb","Tyhjiöpommi"
"specials.name.void_orb_dragon_pve","Tyhjiöpallo"
"specials.name.voidshield","Tyhjiösuoja"
"specials.name.volcanic_blast","Vulkaaninen läimäys"
"specials.name.volcanic_boulders","Liekehtivät lohkareet"
"specials.name.volcanic_eruption","Tulivuorenpurkaus"
"specials.name.volcanic_explosion","Vulkaaninen räjähdys"
"specials.name.volcanic_flareup","Tulivuoren kimmastus"
"specials.name.volcanic_rush","Vulkaaninen ryntäys"
"specials.name.volcanic_shell","Vulkaaninen kuori"
"specials.name.volcanic_tantrum","Piirretty räjähdys"
"specials.name.voluminous_vigor","Voimaa kirjoista"
"specials.name.wall_of_ice","Jäämuuri"
"specials.name.wall_of_ki","Ki-muuri"
"specials.name.wall_of_ki2","Ki-muuri"
"specials.name.wall_of_swords","Miekkamuuri"
"specials.name.wallet_pulverizer","Murskaava helmitaulu"
"specials.name.wand_of_mana_control","Mananhallinnan taikasauva"
"specials.name.wand_of_mana_trickery","Manakikkailun taikasauva"
"specials.name.wandering_star_shot","Vaeltavan tähden laukaus"
"specials.name.war_feast","Sotapidot"
"specials.name.war_song","Sotalaulu"
"specials.name.warcry","Sotahuuto"
"specials.name.warcry_of_the_hunt","Saalistuksen sotahuuto"
"specials.name.warcry_of_the_jungle","Viidakon sotahuuto"
"specials.name.warding_off_evil","Pahuuden torjunta"
"specials.name.warped_timepiece","Vääristynyt aikarauta"
"specials.name.watchful_duty","Vahdin velvollisuus"
"specials.name.water_jet_dragon_pve","Vesisuihku"
"specials.name.waters_of_nourishment","Ravitsevat vedet"
"specials.name.watery_grave","Vetinen hauta"
"specials.name.weakening_strike","Heikentävä isku"
"specials.name.web_of_spies","Vakoojien verkko"
"specials.name.welding_sweep_dragon_pve","Hitsaava pyyhkäisy"
"specials.name.whimsical_aid","Hassuttelevaa avunantoa"
"specials.name.whirlpool","Kurimus"
"specials.name.whirlpool_dash","Kurimussyöksy"
"specials.name.whirlwind_blows","Pyörreiskut"
"specials.name.whispers_of_xulu","Xulun kuiskaukset"
"specials.name.whiteout","Myräkkä"
"specials.name.wicked_witchcraft","Inhaa noituutta"
"specials.name.wide_slash","Leveä sivallus"
"specials.name.widows_kiss","Lesken suudelma"
"specials.name.wild_cleave","Villi viilto"
"specials.name.wild_growth","Villi kasvu"
"specials.name.will_of_fire","Tulen tahto"
"specials.name.wily_wisps","Viekkaat virvatulet"
"specials.name.wind_gospel","Tuuligospel"
"specials.name.wind_prayer","Rukous tuulelle"
"specials.name.wings_of_destruction_pve","Tuhon siivet"
"specials.name.wings_of_force","Voiman siivet"
"specials.name.wings_of_frost","Hallasiivet"
"specials.name.wings_of_laceration","Silpovat siivet"
"specials.name.wings_of_recovery","Elvyttävät siivet"
"specials.name.wings_of_shadow","Varjosiivet"
"specials.name.wings_of_thorn","Piikkisiivet"
"specials.name.wisdom_of_the_gnomes","Tonttujen viisaus"
"specials.name.wise_mans_counsel","Viisaan miehen neuvo"
"specials.name.witch_killer","Noidansurmaaja"
"specials.name.witch_slayer","Noidantappaja"
"specials.name.withering_seasons","Kuluttavat vuodenajat"
"specials.name.wolf_bite","Suden puraisu"
"specials.name.word_of_queen","Kuningattaren sana"
"specials.name.word_of_skies","Taivaiden sana"
"specials.name.worm_bite","Toukan puraisu"
"specials.name.wounding_strike","Haavoittava isku"
"specials.name.wrap","Kääre"
"specials.name.wrath_of_fate","Kohtalon raivo"
"specials.name.wrath_of_frozen_soul","Jäätyneen sielun raivo"
"specials.name.wrath_of_the_ancient","Muinaisen raivo"
"specials.name.wrath_of_the_nine_beaks","Yhdeksän nokan raivo"
"specials.name.wrath_of_tundra","Tundran raivo"
"specials.name.wrathful_sting","Vihainen pisto"
"specials.name.wrenching_strike","Vääntävä isku"
"specials.name.xenda_special","Alamaailman loimu"
"specials.name.xenda_special_costume","Alamaailman liekki"
"specials.name.yellow_beetloid_bite","Keltaisen kuorioidin puraisu"
"specials.name.yellow_signs","Keltaiset merkit"
"specials.name.yurei","Yurei"
"specials.name.zombie_curse","Zombin siunaus"
"specials.name.zombie_invocation","Zombiloitsu"
"specials.name.zooming_lunge","Säpäkkä syöksy"
