"specials.name.a_cozy_break","Pausa Agradável"
"specials.name.unyielding_sword","Espada Incansável"
"specials.name.urgent_gift_delivery","Entrega urgente"
"specials.name.ursine_protection","Proteção Ursina"
"specials.name.valiant_lunge","Investida Valorosa"
"specials.name.valkyrie_charge","Carga das valquírias"
"specials.name.valkyrie_defense","Defesa das valquírias"
"specials.name.valkyrie_resistance","Resistência das Valquírias"
"specials.name.valkyrie_rush","Corrida das Valquírias"
"specials.name.valkyries_fortitude","Fortitude da Valquíria"
"specials.name.valorant_strike","Golpe Valoroso"
"specials.name.valuable_contribution","Contribuição Valiosa"
"specials.name.vampire_killer","Mata-Vampiro"
"specials.name.vampiric_cleave","Cutelo Vampírico"
"specials.name.vampiric_curse","Maldição Vampírica"
"specials.name.vampiric_heist","Assalto Vampírico"
"specials.name.vampiric_touch","Toque vampírico"
"specials.name.vanguard_of_passion","Vanguarda da Paixão"
"specials.name.vantage_point","Ponto de Vantagem"
"specials.name.vapors_of_the_underworld","Vapores do Submundo"
"specials.name.vast_ward","Barreira Robusta"
"specials.name.vengeance_of_owlhalla","Vingança de Corujalla"
"specials.name.vengeful_backstab","Vingança pelas costas"
"specials.name.vengeful_scythe","Foice Vingativa"
"specials.name.venom_slash","Golpe Envenenado"
"specials.name.venomfang_concoction","Mistura Venenosa"
"specials.name.venomous_claws","Garras Peçonhentas"
"specials.name.venomous_jab","Golpe Venenoso"
"specials.name.venomous_spores","Esporos Peçonhentos"
"specials.name.venomous_sting_dragon_pve","Ferroada Peçonhenta"
"specials.name.verdant_mirror","Espelho Verdejante"
"specials.name.verdant_trap","Armadilha Verdejante"
"specials.name.vertical_slash","Talho vertical"
"specials.name.vicious_axe","Machado Violento"
"specials.name.vicious_cyclone","Ciclone Pérfido"
"specials.name.vicious_strike","Golpe Perverso"
"specials.name.vicious_trap","Armadilha Pérfida"
"specials.name.vigilante_punch","Soco Vingador"
"specials.name.vigorous_aegis","Égide Vigorosa"
"specials.name.vigorous_villanelle","Villanelle Vigorosa"
"specials.name.vile_blessing","Maldição de fraqueza"
"specials.name.villain_swing","Arremesso do Vilão"
"specials.name.viper_blade","Lâmina da Víbora"
"specials.name.viper_blade_costume_bear_slayer","Lâmina do Urso"
"specials.name.viscous_shield_justico","Escudo Viscoso"
"specials.name.vitalizing_show","Espetáculo Vitalizante"
"specials.name.vitrail_flames","Chamas do Vitral"
"specials.name.viziers_curse","Vendaval de areia"
"specials.name.voice_of_authority","Voz da Autoridade"
"specials.name.void_blast","Explosão do vazio"
"specials.name.void_bomb","Bomba do Vazio"
"specials.name.void_orb_dragon_pve","Orbe Vazio"
"specials.name.voidshield","Escudo do Vazio"
"specials.name.volatile_crystal_conduit","Conduíte volátil de cristal"
"specials.name.volcanic_blast","Erupção Vulcânica"
"specials.name.volcanic_boulders","Rochas Vulcânicas"
"specials.name.volcanic_eruption","Erupção vulcânica"
"specials.name.volcanic_explosion","Explosão Vulcânica"
"specials.name.volcanic_flareup","Erupção Vulcânica"
"specials.name.volcanic_rush","Ímpeto Vulcânico"
"specials.name.volcanic_shell","Concha Vulcânica"
"specials.name.volcanic_tantrum","Explosão Fofa"
"specials.name.voluminous_vigor","Vigor Volumoso"
"specials.name.wall_of_ice","Muro de Gelo"
"specials.name.wall_of_ki","Muralha de Ki"
"specials.name.wall_of_ki2","Muralha de Ki"
"specials.name.wall_of_swords","Muralha de espadas"
"specials.name.wallet_pulverizer","Ábaco Pulverizante"
"specials.name.wand_of_mana_control","Varinha do Controle de Mana"
"specials.name.wand_of_mana_trickery","Varinha do Truque de Mana"
"specials.name.wandering_star_shot","Disparo Estelar"
"specials.name.war_feast","Festim de guerra"
"specials.name.war_song","Hino de Guerra"
"specials.name.warcry","Grito de guerra"
"specials.name.warcry_of_the_hunt","Grito de Caça"
"specials.name.warcry_of_the_jungle","Urro da Selva"
"specials.name.warding_off_evil","Combate ao Mal"
"specials.name.warped_timepiece","Relógio Distorcido"
"specials.name.watchful_duty","Dever Vigilante"
"specials.name.water_jet_dragon_pve","Jato de Água"
"specials.name.waters_of_nourishment","Águas da Nutrição"
"specials.name.watery_grave","Sepultura aquosa"
"specials.name.weakening_strike","Golpe Enfraquecedor"
"specials.name.web_of_spies","Rede de Espiões"
"specials.name.welding_sweep_dragon_pve","Varredura de Solda"
"specials.name.whimsical_aid","Auxílio Extravagante"
"specials.name.whirlpool","Redemoinho"
"specials.name.whirlpool_dash","Arrancada em Turbilhão"
"specials.name.whirlwind_blows","Turbilhão de Golpes"
"specials.name.whispers_of_xulu","Sussurros de Xulu"
"specials.name.whiteout","Branco Total"
"specials.name.wicked_witchcraft","Bruxaria Perversa"
"specials.name.wide_slash","Corte Amplo"
"specials.name.widows_kiss","Beijo da Viúva"
"specials.name.wild_cleave","Cutelo Selvagem"
"specials.name.wild_growth","Vegetação Selvagem"
"specials.name.will_of_fire","Vontade de Fogo"
"specials.name.wily_wisps","Fogos Astutos"
"specials.name.wind_gospel","Evangelho do Vento"
"specials.name.wind_prayer","Oração dos Ventos"
"specials.name.wings_of_destruction_pve","Asas da Destruição"
"specials.name.wings_of_force","Asas da força"
"specials.name.wings_of_frost","Asas da Neve"
"specials.name.wings_of_laceration","Asas da Laceração"
"specials.name.wings_of_recovery","Asas da Recuperação"
"specials.name.wings_of_shadow","Asas da Sombra"
"specials.name.wings_of_thorn","Asas do Espinho"
"specials.name.wisdom_of_the_gnomes","Sabedoria dos Gnomos"
"specials.name.wise_mans_counsel","Conselho do Sábio"
"specials.name.witch_killer","Assassino de bruxa"
"specials.name.witch_slayer","Exterminador de bruxas"
"specials.name.withering_seasons","Temporadas Definhantes"
"specials.name.wolf_bite","Mordida de lobo"
"specials.name.word_of_queen","Palavra da Rainha"
"specials.name.word_of_skies","Palavra dos Céus"
"specials.name.worm_bite","Pedaço de Boia"
"specials.name.wounding_strike","Golpe de Ferimento"
"specials.name.wrap","Envolver"
"specials.name.wrath_of_fate","Fúria do Destino"
"specials.name.wrath_of_frozen_soul","Fúria da Alma Gelada"
"specials.name.wrath_of_the_ancient","Fúria dos Antigos"
"specials.name.wrath_of_the_nine_beaks","Fúria dos Nove Bicos"
"specials.name.wrath_of_tundra","Ira da tundra"
"specials.name.wrathful_sting","Ferroada Irada"
"specials.name.wrenching_strike","Ataque Doloroso"
"specials.name.xenda_special","Chama do Submundo"
"specials.name.xenda_special_costume","Chama do Submundo"
"specials.name.yellow_beetloid_bite","Ferroada de Besouroide Amarelo"
"specials.name.yellow_signs","Sinais Amarelos"
"specials.name.yurei","Yurei"
"specials.name.zombie_curse","Bênção Zumbi"
"specials.name.zombie_invocation","Invocação Zumbi"
"specials.name.zooming_lunge","Investida Aproximadora"
