"heroes.name_fancy.astral_cosmicspeaker","Astronoma degli elfi astrali"
"heroes.name_fancy.underworld_champion_costume_vampire","Vampiro pretoriano"
"heroes.name_fancy.valentines_anteros","Cupido dell'amore ricambiato"
"heroes.name_fancy.valentines_cupido","Cupido dell'affetto"
"heroes.name_fancy.valentines_elba","Protettrice risoluta dell'amore"
"heroes.name_fancy.valentines_eros","Cupido del desiderio"
"heroes.name_fancy.valentines_himeros","Cupido dell'amore non corrisposto"
"heroes.name_fancy.valentines_kabeiroi","Macchina innamorata"
"heroes.name_fancy.valentines_matchmaker_dodgrom","Consulente di appuntamenti orchesco"
"heroes.name_fancy.valentines_phthonus","Cupido dell'invidia"
"heroes.name_fancy.valentines_voluptas","Cupido della delizia"
"heroes.name_fancy.valentines_zarola","Cupido dei rubacuori"
"heroes.name_fancy.vampire_king","Re Vampiro"
"heroes.name_fancy.vampire_king_costume_mafia","Re del crimine"
"heroes.name_fancy.vampire_lord","Scagnozzo Vampiro"
"heroes.name_fancy.vampire_queen","Figlia della notte"
"heroes.name_fancy.vegetable_bartholomew","Barbaro del peperone"
"heroes.name_fancy.vegetable_elsbeth","Cavaliere della barbabietola"
"heroes.name_fancy.villain_asterius","Minotauro mostruoso"
"heroes.name_fancy.villain_crystalis","Imperatrice dei cristalli"
"heroes.name_fancy.villain_dark_lord","Flagello di Karemdol"
"heroes.name_fancy.villain_dark_lord_costume_astronomer","Astronomo di Karemdol"
"heroes.name_fancy.villain_edd","Teppista testadura"
"heroes.name_fancy.villain_ingolf","Hersir dannato"
"heroes.name_fancy.villain_isrod","Jarl dannato"
"heroes.name_fancy.villain_karnov","Colosso campione"
"heroes.name_fancy.villain_karnov_costume_jammies","Picchiatore del sonno"
"heroes.name_fancy.villain_sanngrior","Valchiria caduta"
"heroes.name_fancy.villain_skrekok","Uomoratto canaglia"
"heroes.name_fancy.villain_toxicandra","Sovrana di Cerbera"
"heroes.name_fancy.villain_toxicandra_costume_rose","Sovrana di Flora"
"heroes.name_fancy.wild_cat_catalina","Corona della giungla"
"heroes.name_fancy.wild_cat_ferni","Gatto avventuroso della foresta pluviale"
"heroes.name_fancy.wild_cat_imagus","Costellazionista vaporoso"
"heroes.name_fancy.wild_cat_lennart","Lince rossa dall'occhio affilato"
"heroes.name_fancy.wild_cat_leonie","Sopravvissuto dei Leor"
"heroes.name_fancy.wild_cat_marnes","Pantera infida"
"heroes.name_fancy.wild_cat_rajesh","Capo tigre buongustaio"
"heroes.name_fancy.wild_cat_stravia","Messaggera dei Chentari"
"heroes.name_fancy.wild_cat_thaffer","Soriano scassinatore"
"heroes.name_fancy.wild_cat_tunes","Gatta di montagna musicista"
"heroes.name_fancy.wild_cat_vernix","Mago dei leopardi delle nevi"
"heroes.name_fancy.witch_king","Maestro delle cripte"
"heroes.name_fancy.witch_king_costume_cosmic","Evocatore cosmico"
"heroes.name_fancy.wonderland_alice","Avventuriera del Paese delle Meraviglie"
"heroes.name_fancy.wonderland_alice_costume_warping","Principessa del croquet del Paese delle Meraviglie"
"heroes.name_fancy.wonderland_bear","Bestia del Paese delle Meraviglie"
"heroes.name_fancy.wonderland_captain","Furfante del Paese delle Meraviglie"
"heroes.name_fancy.wonderland_cheshire_cat","Micetto birichino"
"heroes.name_fancy.wonderland_cheshire_cat_costume_malicious","Gatto maligno"
"heroes.name_fancy.wonderland_hatter","Enigmista del Paese delle Meraviglie"
"heroes.name_fancy.wonderland_hatter_costume_tea","Intenditore di tè del Paese delle Meraviglie"
"heroes.name_fancy.wonderland_jabberwocky","Orrore del Paese delle Meraviglie"
"heroes.name_fancy.wonderland_jabberwocky_costume_moth","Jabberfalena"
"heroes.name_fancy.wonderland_knave_of_hearts","Ladro del Paese delle Meraviglie"
"heroes.name_fancy.wonderland_phoenicus","Intelletto del Paese delle Meraviglie"
"heroes.name_fancy.wonderland_queen","Monarca del Paese delle Meraviglie"
"heroes.name_fancy.wonderland_queen_costume_benefactor","Benefattrice del Paese delle Meraviglie"
"heroes.name_fancy.wonderland_tweedles","Gemelli del Paese delle Meraviglie"
"heroes.name_fancy.wonderland_white_rabbit","Guida del Paese delle Meraviglie"
"heroes.name_fancy.wonderland_white_rabbit_costume_mask","Maschera della follia"
