"specials.name.a_cozy_break","Istirahat yang Nyaman"
"specials.name.valkyrie_charge","Terjangan Valkyrie"
"specials.name.valkyrie_defense","Pertahanan Valkyrie"
"specials.name.valkyrie_resistance","Ketahanan Valkyrie"
"specials.name.valkyrie_rush","Serangan Valkyrie"
"specials.name.valkyries_fortitude","Ketabahan Valkyrie"
"specials.name.valorant_strike","Serangan Valorant"
"specials.name.valuable_contribution","Kontribusi Berharga"
"specials.name.vampire_killer","Pembunuh Vampir"
"specials.name.vampiric_cleave","Tebasan Vampir"
"specials.name.vampiric_curse","Kutukan Vampir"
"specials.name.vampiric_heist","Perampokan Vampir"
"specials.name.vampiric_touch","Sentuhan Vampir"
"specials.name.vanguard_of_passion","Barisan Depan Gairah"
"specials.name.vantage_point","Titik Pandang Luas"
"specials.name.vapors_of_the_underworld","Uap Dunia Bawah"
"specials.name.vast_ward","Penangkal Kuat"
"specials.name.vengeance_of_owlhalla","Pembalasan Owlhalla"
"specials.name.vengeful_backstab","Tusukan Belakang Pendendam"
"specials.name.vengeful_scythe","Sabit Pendendam"
"specials.name.venom_slash","Sabetan Berbisa"
"specials.name.venomfang_concoction","Ramuan Taring Berbisa"
"specials.name.venomous_claws","Cakar Berbisa"
"specials.name.venomous_jab","Tusukan Berbisa"
"specials.name.venomous_spores","Spora Berbisa"
"specials.name.venomous_sting_dragon_pve","Sengatan Berbisa"
"specials.name.verdant_mirror","Cermin Hijau"
"specials.name.verdant_trap","Jebakan Hijau"
"specials.name.vertical_slash","Sabetan Vertikal"
"specials.name.vicious_axe","Kapak Ganas"
"specials.name.vicious_cyclone","Siklon Ganas"
"specials.name.vicious_strike","Serangan Ganas"
"specials.name.vicious_trap","Jebakan Ganas"
"specials.name.vigilante_punch","Tinju Waspada"
"specials.name.vigorous_aegis","Pelindung Bertenaga"
"specials.name.vigorous_villanelle","Villanelle Bertenaga"
"specials.name.vile_blessing","Kutukan Melemahkan"
"specials.name.villain_swing","Sabetan Penjahat"
"specials.name.viper_blade","Pedang Viper"
"specials.name.viper_blade_costume_bear_slayer","Bilah Beruang"
"specials.name.viscous_shield_justico","Perisai Kental"
"specials.name.vitalizing_show","Tontonan Menggairahkan"
"specials.name.vitrail_flames","Api Kaca Patri"
"specials.name.viziers_curse","Bohorok Pasir"
"specials.name.voice_of_authority","Suara Otoritas"
"specials.name.void_blast","Ledakan Hampa"
"specials.name.void_bomb","Bom Hampa"
"specials.name.void_orb_dragon_pve","Bola Hampa"
"specials.name.voidshield","Perisai Hampa"
"specials.name.volcanic_blast","Ledakan Vulkanik"
"specials.name.volcanic_boulders","Batu Vulkanik"
"specials.name.volcanic_eruption","Ledakan Vulkanik"
"specials.name.volcanic_explosion","Eksplosi Vulkanik"
"specials.name.volcanic_flareup","Letusan Vulkanik"
"specials.name.volcanic_rush","Serangan Cepat Vulkanik"
"specials.name.volcanic_shell","Cangkang Vulkanik"
"specials.name.volcanic_tantrum","Ledakan Toon"
"specials.name.voluminous_vigor","Tenaga Luar Biasa"
"specials.name.wall_of_ice","Dinding Es"
"specials.name.wall_of_ki","Dinding Ki"
"specials.name.wall_of_ki2","Dinding Ki"
"specials.name.wall_of_swords","Dinding Pedang"
"specials.name.wallet_pulverizer","Swipoa Menghancurkan"
"specials.name.wand_of_mana_control","Tongkat Kontrol Mana"
"specials.name.wand_of_mana_trickery","Tongkat Muslihat Mana"
"specials.name.wandering_star_shot","Tembakan Bintang Berkeliaran"
"specials.name.war_feast","Pesta Tempur"
"specials.name.war_song","Lagu Perang"
"specials.name.warcry","Pekik Perang"
"specials.name.warcry_of_the_hunt","Jeritan Perang dari Perburuan"
"specials.name.warcry_of_the_jungle","Jeritan Perang dari Hutan"
"specials.name.warding_off_evil","Menangkal yang Jahat"
"specials.name.warped_timepiece","Arloji Lengkung"
"specials.name.watchful_duty","Tugas Waspada"
"specials.name.water_jet_dragon_pve","Pancaran Air"
"specials.name.waters_of_nourishment","Perairan Nutrisi"
"specials.name.watery_grave","Makam Payau"
"specials.name.weakening_strike","Serbuan Melemahkan"
"specials.name.web_of_spies","Jaringan Mata-mata"
"specials.name.welding_sweep_dragon_pve","Sapuan Las"
"specials.name.whimsical_aid","Bantuan Aneh"
"specials.name.whirlpool","Pusaran"
"specials.name.whirlpool_dash","Bergegas Pusaran Air"
"specials.name.whirlwind_blows","Tiupan Tornado"
"specials.name.whispers_of_xulu","Bisikan Xulu"
"specials.name.whiteout","Badai Salju"
"specials.name.wicked_witchcraft","Sihir Jahat"
"specials.name.wide_slash","Sabetan Lebar"
"specials.name.widows_kiss","Kecupan Janda"
"specials.name.wild_cleave","Tebasan Liar"
"specials.name.wild_growth","Pertumbuhan Liar"
"specials.name.will_of_fire","Kehendak Api"
"specials.name.wily_wisps","Roh Gentayangan"
"specials.name.wind_gospel","Ajaran Angin"
"specials.name.wind_prayer","Doa Angin"
"specials.name.wings_of_destruction_pve","Sayap Kehancuran"
"specials.name.wings_of_force","Sayap Tenaga"
"specials.name.wings_of_frost","Sayap Beku"
"specials.name.wings_of_laceration","Sayap Laserasi"
"specials.name.wings_of_recovery","Sayap Pemulihan"
"specials.name.wings_of_shadow","Sayap Bayangan"
"specials.name.wings_of_thorn","Sayap Duri"
"specials.name.wisdom_of_the_gnomes","Kebijaksanaan Gnome"
"specials.name.wise_mans_counsel","Nasihat Orang Bijak"
"specials.name.witch_killer","Pembunuh Penyihir"
"specials.name.witch_slayer","Pembantai Penyihir"
"specials.name.withering_seasons","Musim Layu"
"specials.name.wolf_bite","Gigitan Serigala"
"specials.name.word_of_queen","Sabda Ratu"
"specials.name.word_of_skies","Sabda Langit"
"specials.name.worm_bite","Gigitan Ulat"
"specials.name.wounding_strike","Serangan Melukai"
"specials.name.wrap","Bebat"
"specials.name.wrath_of_fate","Amarah Takdir"
"specials.name.wrath_of_frozen_soul","Amarah Jiwa Beku"
"specials.name.wrath_of_the_ancient","Amarah Kuno"
"specials.name.wrath_of_the_nine_beaks","Amarah Sembilan Paruh"
"specials.name.wrath_of_tundra","Amarah Tundra"
"specials.name.wrathful_sting","Sengatan Amarah"
"specials.name.wrenching_strike","Serangan Memilukan"
"specials.name.xenda_special","Api Dunia Bawah"
"specials.name.xenda_special_costume","Api Dunia Bawah"
"specials.name.yellow_beetloid_bite","Gigitan Bitloid Kuning"
"specials.name.yellow_signs","Tanda Kuning"
"specials.name.yurei","Yurei"
"specials.name.zombie_curse","Berkat Zombi"
"specials.name.zombie_invocation","Selawat Zombi"
"specials.name.zooming_lunge","Terjang Perbesar"
