"heroes.name_fancy.astral_cosmicspeaker","Astronom Elf Astral"
"heroes.name_fancy.tales1_mulgog_costume_bard","Penyair Manusia Ikan"
"heroes.name_fancy.tales1_persa","Roh Air Penjarah"
"heroes.name_fancy.tales1_persa_costume_jellyfish_noble","Ubur-ubur Mulia"
"heroes.name_fancy.tales1_phorcys","Dewa Purba dari Kedalaman"
"heroes.name_fancy.tales1_phorcys_costume_warrior_god","Dewa Prajurit dari Kedalaman"
"heroes.name_fancy.tales1_sharkhai","Pengkhianat Besar"
"heroes.name_fancy.tales1_sharkhai_costume_butcher","Tukang Daging Bergerigi"
"heroes.name_fancy.tales1_spartoi","Pengamuk Naga"
"heroes.name_fancy.tales1_spartoi_costume_guard","Pengawal Naga"
"heroes.name_fancy.tales1_thalassa","Dewi Purba dari Lautan"
"heroes.name_fancy.tales1_thalassa_costume_crystals","Dewi Purba dari Kristal"
"heroes.name_fancy.tales1_ultrox","Penjaga Kuil Kedalaman"
"heroes.name_fancy.tales1_ultrox_costume_ethereal","Penyedot dari Kedalaman"
"heroes.name_fancy.tales2_aethslegaur","Pencari Api Kurcaci"
"heroes.name_fancy.tales2_andvari","Orakel Kurcaci"
"heroes.name_fancy.tales2_bragi","Pejuang Hadiah Kurcaci"
"heroes.name_fancy.tales2_bryggvir","Pengendara Kambing Kurcaci"
"heroes.name_fancy.tales2_dagr","Syaman Pengunungan Kurcaci"
"heroes.name_fancy.tales2_dain","Master Pengepungan Kurcaci"
"heroes.name_fancy.tales2_dularfulr","Peramal Kegelapan Kurcaci"
"heroes.name_fancy.tales2_fafnir","Penguasa Myrkheim Kurcaci"
"heroes.name_fancy.tales2_fimafeng","Penyintas Kurcaci"
"heroes.name_fancy.tales2_fjalar","Skald Emas Kurcaci"
"heroes.name_fancy.tales2_fjalar_costume_undead","Skald Hantu Kurcaci"
"heroes.name_fancy.tales2_gandr","Pejuang Angin Kurcaci"
"heroes.name_fancy.tales2_gandr_costume_guardian","Prajurit Megah Kurcaci"
"heroes.name_fancy.tales2_helgi","Pelari Kemarahan Kurcaci"
"heroes.name_fancy.tales2_helgi_costume_combatant","Pengisi Ulang Kurcaci"
"heroes.name_fancy.tales2_hogne","Kesatria Agung Kurcaci"
"heroes.name_fancy.tales2_hreidmarr","Raja Pegunungan Kurcaci"
"heroes.name_fancy.tales2_motsognir","Orang Liar Perbatasan Kurcaci"
"heroes.name_fancy.tales2_ott","Pengecoh Ria Kurcaci"
"heroes.name_fancy.tales2_ott_costume_herbalist","Pengecoh Maestro Kurcaci"
"heroes.name_fancy.tales2_regin","Pangeran Fabel Kurcaci"
"heroes.name_fancy.tales2_regin_costume_omen","Pangeran Jatuh Kurcaci"
"heroes.name_fancy.tales2_snorri","Kurcaci Pendongeng"
"heroes.name_fancy.tales2_svafa","Kurcaci Pemburu Hewan Besar"
"heroes.name_fancy.tales2_thrivaldi","Pencari Es Kurcaci"
"heroes.name_fancy.titan_hunter_adelitza","Barisan Depan Hutan Hujan"
"heroes.name_fancy.titan_hunter_borgholf","Penjebak Belukar"
"heroes.name_fancy.titan_hunter_lumi_and_taiga","Penjaga Tundra"
"heroes.name_fancy.trainer","Pedang Sewaan"
"heroes.name_fancy.tribal_chief","Kepala Suku"
"heroes.name_fancy.tribal_chief_costume_conqueror","Pembalas Suku"
"heroes.name_fancy.tribal_chief_costume_cute","Ketua Toon"
"heroes.name_fancy.tribal_chief_costume_glass","Kepala Kaca Patri"
"heroes.name_fancy.tribal_chief_costume_leopard","Kepala Macan Tutul"
"heroes.name_fancy.undead_captain_warrior","Penguasa Terikat Kematian"
"heroes.name_fancy.undead_captain_warrior_costume_cute","Toon yang Terikat Kematian"
"heroes.name_fancy.undead_captain_warrior_costume_glass","Kaca Patri Terikat Kematian"
"heroes.name_fancy.undead_captain_warrior_costume_prince","Pangeran Kekal"
"heroes.name_fancy.undead_captain_warrior_costume_reveller","Reveller yang Terikat Kematian"
"heroes.name_fancy.undead_female_warrior","Lady Deathbound"
"heroes.name_fancy.undead_female_warrior_costume_cute","Toon Tanpa Kematian"
"heroes.name_fancy.undead_female_warrior_costume_glass","Kaca Patri Terikat Kematian"
"heroes.name_fancy.undead_female_warrior_costume_princess","Putri Kekal"
"heroes.name_fancy.undead_female_warrior_costume_rococo","Putri Terikat Maut"
"heroes.name_fancy.undead_horned_skeleton","Restan Tanpa Henti"
"heroes.name_fancy.undead_horned_skeleton_costume_cute","Toon Tanpa Henti"
"heroes.name_fancy.undead_horned_skeleton_costume_fool","Sisa Pelawak"
"heroes.name_fancy.undead_horned_skeleton_costume_glass","Kaca Patri Tanpa Henti"
"heroes.name_fancy.undead_running_skeleton","Restan Berwibawa"
"heroes.name_fancy.undead_running_skeleton_costume_cute","Toon Khidmat"
"heroes.name_fancy.undead_running_skeleton_costume_glass","Restan Kaca"
"heroes.name_fancy.undead_running_skeleton_costume_roman","Peninggalan Romawi"
"heroes.name_fancy.undead_screaming_zombie","Restan Pincang"
"heroes.name_fancy.underworld_champion","Pengawal Praetoria"
"heroes.name_fancy.underworld_champion_costume_champion","Gladiator Praetoria"
"heroes.name_fancy.underworld_champion_costume_cute","Toon Praetoria"
"heroes.name_fancy.underworld_champion_costume_glass","Kaca Patri Praetoria"
"heroes.name_fancy.underworld_champion_costume_stylish","Pengawal Bergaya"
"heroes.name_fancy.underworld_champion_costume_vampire","Vampir Praetoria"
"heroes.name_fancy.valentines_anteros","Cupid Cinta Kembali"
"heroes.name_fancy.valentines_cupido","Cupid Afeksi"
"heroes.name_fancy.valentines_cupido_costume_flame","Cupid Gairah Membara"
"heroes.name_fancy.valentines_elba","Pelindung Cinta yang Teguh"
"heroes.name_fancy.valentines_eros","Cupid Nafsu"
"heroes.name_fancy.valentines_himeros","Cupid Cinta Tak Terbalas"
"heroes.name_fancy.valentines_kabeiroi","Gearhead Dilanda Cinta"
"heroes.name_fancy.valentines_lempi","Cupid Pagi di Musim Dingin"
"heroes.name_fancy.valentines_matchmaker_dodgrom","Konsultan Pacaran Orc"
"heroes.name_fancy.valentines_phthonus","Cupid Kecemburuan"
"heroes.name_fancy.valentines_vernon","Cupid dari Kayu Teras"
"heroes.name_fancy.valentines_voluptas","Cupid Kesenangan"
"heroes.name_fancy.valentines_voluptas_costume_paint","Cupid Pelukis"
"heroes.name_fancy.valentines_zarola","Cupid Pembuat Patah Hati"
"heroes.name_fancy.valentines_zarola_costume_cowboy","Cupid Pamong Sendirian"
"heroes.name_fancy.vampire_king","Raja Vampir"
"heroes.name_fancy.vampire_king_costume_mafia","Raja Kejahatan"
"heroes.name_fancy.vampire_lord","Antek Vampir"
"heroes.name_fancy.vampire_queen","Anak Malam"
"heroes.name_fancy.vegetable_bartholomew","Paprika Barbar"
"heroes.name_fancy.vegetable_elsbeth","Kesatria Ubi Bit"
"heroes.name_fancy.villain_asterius","Minotaur yang Mengerikan"
"heroes.name_fancy.villain_crystalis","Kaisar Wanita Kristal"
"heroes.name_fancy.villain_dark_lord","Kutukan Karemdol"
"heroes.name_fancy.villain_dark_lord_costume_astronomer","Astronom Karemdol"
"heroes.name_fancy.villain_edd","Preman Bodoh"
"heroes.name_fancy.villain_ingolf","Hersir Tamat Riwayat"
"heroes.name_fancy.villain_isrod","Jarl Tamat Riwayat"
"heroes.name_fancy.villain_karnov","Jawara Bramacorah"
"heroes.name_fancy.villain_karnov_costume_jammies","Bramacorah Waktu Tidur"
"heroes.name_fancy.villain_sanngrior","Valkyrie Jatuh"
"heroes.name_fancy.villain_skrekok","Manusia Tikus Bangsat"
"heroes.name_fancy.villain_toxicandra","Penguasa Cerbera"
"heroes.name_fancy.villain_toxicandra_costume_rose","Penguasa Flora"
"heroes.name_fancy.wild_cat_catalina","Mahkota Hutan"
"heroes.name_fancy.wild_cat_ferni","Kucing Hutan Hujan Petualang"
"heroes.name_fancy.wild_cat_gitnib","Nelayan Tigris yang Malang"
"heroes.name_fancy.wild_cat_imagus","Ahli Konstelasi Berbulu Halus"
"heroes.name_fancy.wild_cat_lennart","Kucing Hutan Bermata Tajam"
"heroes.name_fancy.wild_cat_leonie","Penyintas Leor"
"heroes.name_fancy.wild_cat_marnes","Panter Tusuk Samping"
"heroes.name_fancy.wild_cat_rajesh","Kepala Penikmat Kuliner Tigris"
"heroes.name_fancy.wild_cat_rawn","Pencuri Puma"
"heroes.name_fancy.wild_cat_savann","Kucing dari Lembah Terberkati Surya"
"heroes.name_fancy.wild_cat_sharalen","Lynx Garis Depan Kejam"
"heroes.name_fancy.wild_cat_stravia","Utusan Chentarit"
"heroes.name_fancy.wild_cat_thaffer","Kucing Betina Pembobol Brankas"
"heroes.name_fancy.wild_cat_tunes","Musisi Kucing Gunung"
"heroes.name_fancy.wild_cat_vernix","Magus Macan Tutul Salju"
"heroes.name_fancy.witch_king","Ahli Ruang Rahasia"
"heroes.name_fancy.witch_king_costume_cosmic","Pesulap Kosmik"
"heroes.name_fancy.wonderland_alice","Petualang Negeri Ajaib"
"heroes.name_fancy.wonderland_alice_costume_warping","Putri Kroket dari Negeri Ajaib"
"heroes.name_fancy.wonderland_bear","Monster Negeri Ajaib"
"heroes.name_fancy.wonderland_captain","Begundal Negeri Ajaib"
"heroes.name_fancy.wonderland_cheshire_cat","Pus Meong Iseng"
"heroes.name_fancy.wonderland_cheshire_cat_costume_malicious","Pus Kucing Berbahaya"
"heroes.name_fancy.wonderland_hatter","Enigmawan Negeri Ajaib"
"heroes.name_fancy.wonderland_hatter_costume_tea","Penikmat Teh Negeri Ajaib"
"heroes.name_fancy.wonderland_jabberwocky","Horor Negeri Ajaib"
"heroes.name_fancy.wonderland_jabberwocky_costume_moth","Jabbermoth"
"heroes.name_fancy.wonderland_knave_of_hearts","Pencuri Negeri Ajaib"
"heroes.name_fancy.wonderland_phoenicus","Intelektual Negeri Ajaib"
"heroes.name_fancy.wonderland_queen","Monarki Negeri Ajaib"
"heroes.name_fancy.wonderland_queen_costume_benefactor","Dermawan Negeri Ajaib"
"heroes.name_fancy.wonderland_tweedles","Kembar Negeri Ajaib"
"heroes.name_fancy.wonderland_white_rabbit","Pemandu Negeri Ajaib"
"heroes.name_fancy.wonderland_white_rabbit_costume_mask","Topeng Kegilaan"
