"specials.name.a_cozy_break","Un merecido descanso"
"specials.name.vitrail_flames","Llamas de vidriera"
"specials.name.viziers_curse","Temporal de arena"
"specials.name.voice_of_authority","Voz de la autoridad"
"specials.name.void_blast","Explosión de vacío"
"specials.name.void_bomb","Bomba de vacío"
"specials.name.void_orb_dragon_pve","Orbe de vacío"
"specials.name.voidshield","Escudo de vacío"
"specials.name.volatile_crystal_conduit","Conducto de cristal volátil"
"specials.name.volcanic_blast","Estallido volcánico"
"specials.name.volcanic_boulders","Peñascos volcánicos"
"specials.name.volcanic_eruption","Erupción volcánica"
"specials.name.volcanic_explosion","Explosión volcánica"
"specials.name.volcanic_flareup","Llama volcánica"
"specials.name.volcanic_rush","Carga volcánica"
"specials.name.volcanic_shell","Caparazón volcánico"
"specials.name.volcanic_tantrum","Explosión de caricatura"
"specials.name.voluminous_vigor","Vigor voluminoso"
"specials.name.wall_of_ice","Muro de hielo"
"specials.name.wall_of_ki","Muro de ki"
"specials.name.wall_of_ki2","Muro de ki"
"specials.name.wall_of_swords","Muro de espadas"
"specials.name.wallet_pulverizer","Ábaco demoledor"
"specials.name.wand_of_mana_control","Varita del control de maná"
"specials.name.wand_of_mana_trickery","Varita del engaño de maná"
"specials.name.wandering_star_shot","Flecha estelar errante"
"specials.name.war_feast","Festín de guerra"
"specials.name.war_song","Cántico de guerra"
"specials.name.warcry","Grito de guerra"
"specials.name.warcry_of_the_hunt","Grito de guerra de la caza"
"specials.name.warcry_of_the_jungle","Grito de guerra de la jungla"
"specials.name.warding_off_evil","Protección frente al mal"
"specials.name.warped_timepiece","Distorsión temporal"
"specials.name.watchful_duty","Deber vigilante"
"specials.name.water_jet_dragon_pve","Propulsión acuática"
"specials.name.waters_of_nourishment","Aguas nutritivas"
"specials.name.watery_grave","Tumba acuática"
"specials.name.weakening_strike","Golpe debilitante"
"specials.name.web_of_spies","Red de espías"
"specials.name.welding_sweep_dragon_pve","Barrido soldador"
"specials.name.whimsical_aid","Ayuda rimbombante"
"specials.name.whirlpool","Remolino"
"specials.name.whirlpool_dash","Arremetida en remolino"
"specials.name.whirlwind_blows","Remolino demoledor"
"specials.name.whispers_of_xulu","Susurros de xulu"
"specials.name.whiteout","Bloqueo níveo"
"specials.name.wicked_witchcraft","Brujería malvada"
"specials.name.wide_slash","Tajos amplios"
"specials.name.widows_kiss","Beso de viuda"
"specials.name.wild_cleave","Tajo salvaje"
"specials.name.wild_growth","Crecimiento salvaje"
"specials.name.will_of_fire","Voluntad del fuego"
"specials.name.wily_wisps","Fuegos taimados"
"specials.name.wind_gospel","Evangelio del viento"
"specials.name.wind_prayer","Oración del viento"
"specials.name.wings_of_destruction_pve","Alas destructivas"
"specials.name.wings_of_force","Alas de fuerza"
"specials.name.wings_of_frost","Alas de escarcha"
"specials.name.wings_of_laceration","Alas de laceración"
"specials.name.wings_of_recovery","Alas de recuperación"
"specials.name.wings_of_shadow","Alas de sombra"
"specials.name.wings_of_thorn","Alas de espinas"
"specials.name.wisdom_of_the_gnomes","Sabiduría de los gnomos"
"specials.name.wise_mans_counsel","Consejo de sabio"
"specials.name.witch_killer","Asesino de brujas"
"specials.name.witch_slayer","Matabrujas"
"specials.name.withering_seasons","Estaciones devastadoras"
"specials.name.wolf_bite","Mordedura de lobo"
"specials.name.word_of_queen","Palabra de reina"
"specials.name.word_of_skies","Palabra de los cielos"
"specials.name.worm_bite","Mordisco de larva"
"specials.name.wounding_strike","Golpe hiriente"
"specials.name.wrap","Envolver"
"specials.name.wrath_of_fate","Ira del destino"
"specials.name.wrath_of_frozen_soul","Ira del alma congelada"
"specials.name.wrath_of_the_ancient","Ira de los ancianos"
"specials.name.wrath_of_the_nine_beaks","Ira de los nueve picos"
"specials.name.wrath_of_tundra","Ira de Tundra"
"specials.name.wrathful_sting","Picadura iracunda"
"specials.name.wrenching_strike","Golpe desgarrador"
"specials.name.xenda_special","Llamarada del inframundo"
"specials.name.xenda_special_costume","Llama del inframundo"
"specials.name.yellow_beetloid_bite","Mordisco de escarabajoide amarillo"
"specials.name.yellow_signs","Señales amarillas"
"specials.name.yurei","Yurei"
"specials.name.zombie_curse","Bendición de zombi"
"specials.name.zombie_invocation","Invocación zombi"
"specials.name.zooming_lunge","Embestida súbita"
