"heroes.name_fancy.astral_cosmicspeaker","Elfa astral astrónoma"
"heroes.name_fancy.tales1_jaco_costume_alchemist","Alquimista corrupto de las profundidades"
"heroes.name_fancy.tales1_lasalle","Húsar de Atlantis extravagante"
"heroes.name_fancy.tales1_lasalle_costume_jockey","Jinete de Atlantis extravagante"
"heroes.name_fancy.tales1_medea","Reina naga de las profundidades"
"heroes.name_fancy.tales1_medea_costume_goddess","Diosa naga de las profundidades"
"heroes.name_fancy.tales1_mulgog","Hombre pez merodeador"
"heroes.name_fancy.tales1_mulgog_costume_bard","Hombre pez trovador"
"heroes.name_fancy.tales1_persa","Espíritu acuático del pillaje"
"heroes.name_fancy.tales1_persa_costume_jellyfish_noble","Medusa noble"
"heroes.name_fancy.tales1_phorcys","Dios primordial de las profundidades"
"heroes.name_fancy.tales1_phorcys_costume_warrior_god","Dios guerrero de las profundidades"
"heroes.name_fancy.tales1_sharkhai","Gran traidor"
"heroes.name_fancy.tales1_sharkhai_costume_butcher","Carnicero descarnado"
"heroes.name_fancy.tales1_spartoi","Berserker naga"
"heroes.name_fancy.tales1_spartoi_costume_guard","Guardia naga"
"heroes.name_fancy.tales1_thalassa","Diosa primordial de los océanos"
"heroes.name_fancy.tales1_thalassa_costume_crystals","Diosa primordial de los cristales"
"heroes.name_fancy.tales1_ultrox","Custodio del templo de las profundidades"
"heroes.name_fancy.tales1_ultrox_costume_ethereal","Conjurador de las profundidades"
"heroes.name_fancy.tales2_aethslegaur","Buscador del fuego enano"
"heroes.name_fancy.tales2_aethslegaur_costume_soul_seeker","Buscador del alma enana"
"heroes.name_fancy.tales2_andvari","Oráculo enana"
"heroes.name_fancy.tales2_andvari_costume_c1","Restaurador enano"
"heroes.name_fancy.tales2_bragi","Púgil enano"
"heroes.name_fancy.tales2_bryggvir","Jinete de cabra enano"
"heroes.name_fancy.tales2_dagr","Chamán de la montaña de los enanos"
"heroes.name_fancy.tales2_dagr_costume_plague_shaman","Chamán de la plaga enano"
"heroes.name_fancy.tales2_dain","Maestra de asedios enana"
"heroes.name_fancy.tales2_dularfulr","Visionaria de la oscuridad enana"
"heroes.name_fancy.tales2_dularfulr_costume_engineer","Ingeniero de la oscuridad enano"
"heroes.name_fancy.tales2_fafnir","Señora de Myrkheim enana"
"heroes.name_fancy.tales2_fimafeng","Superviviente enana"
"heroes.name_fancy.tales2_fjalar","Escaldo dorado enano"
"heroes.name_fancy.tales2_fjalar_costume_undead","Escaldo espectral enano"
"heroes.name_fancy.tales2_gandr","Guerrera del viento enana"
"heroes.name_fancy.tales2_gandr_costume_guardian","Soldado real enana"
"heroes.name_fancy.tales2_helgi","Corredor iracundo enano"
"heroes.name_fancy.tales2_helgi_costume_combatant","Reponedor enano"
"heroes.name_fancy.tales2_hogne","Gran caballero enano"
"heroes.name_fancy.tales2_hreidmarr","Rey de la montaña de los enanos"
"heroes.name_fancy.tales2_motsognir","Bárbaro de la frontera enano"
"heroes.name_fancy.tales2_ott","Embaucador alegre enano"
"heroes.name_fancy.tales2_ott_costume_herbalist","Maestro embaucador enano"
"heroes.name_fancy.tales2_regin","Príncipe legendario enano"
"heroes.name_fancy.tales2_regin_costume_omen","Príncipe caído enano"
"heroes.name_fancy.tales2_snorri","Cuentacuentos enano"
"heroes.name_fancy.tales2_svafa","Cazadora experimentada enana"
"heroes.name_fancy.tales2_thrivaldi","Buscador del hielo enano"
"heroes.name_fancy.titan_hunter_adelitza","Vanguardia de la jungla"
"heroes.name_fancy.titan_hunter_avestalon","Trampera de la jungla"
"heroes.name_fancy.titan_hunter_borgholf","Trampera de la arboleda"
"heroes.name_fancy.titan_hunter_brachynd","Guardián de la cala"
"heroes.name_fancy.titan_hunter_konradus","Vanguardia de la tundra"
"heroes.name_fancy.titan_hunter_lumi_and_taiga","Guardianes de la tundra"
"heroes.name_fancy.titan_hunter_orson","Guardián de la arboleda"
"heroes.name_fancy.titan_hunter_savanna","Vanguardia de la naturaleza"
"heroes.name_fancy.titan_hunter_veldt","Trampera de la naturaleza"
"heroes.name_fancy.titan_hunter_vendela","Vanguardia de la cala"
"heroes.name_fancy.trainer","Espada en alquiler"
"heroes.name_fancy.tribal_chief","Jefe de las tribus"
"heroes.name_fancy.tribal_chief_costume_conqueror","Vengador de las tribus"
"heroes.name_fancy.tribal_chief_costume_cute","Jefe de las caricaturas"
"heroes.name_fancy.tribal_chief_costume_glass","Jefe de las vidrieras"
"heroes.name_fancy.tribal_chief_costume_leopard","Jefe de los leopardos"
"heroes.name_fancy.undead_captain_warrior","Señor de la muerte"
"heroes.name_fancy.undead_captain_warrior_costume_cute","Caricatura inmortal"
"heroes.name_fancy.undead_captain_warrior_costume_glass","Vidriera de la muerte"
"heroes.name_fancy.undead_captain_warrior_costume_prince","Príncipe inmortal"
"heroes.name_fancy.undead_captain_warrior_costume_reveller","Juerguista de la muerte"
"heroes.name_fancy.undead_captain_warrior_costume_stylish","Señor de la muerte elegante"
"heroes.name_fancy.undead_female_warrior","Dama de la muerte"
"heroes.name_fancy.undead_female_warrior_costume_cute","Caricatura inmortal"
"heroes.name_fancy.undead_female_warrior_costume_glass","Vidriera de la muerte"
"heroes.name_fancy.undead_female_warrior_costume_princess","Princesa inmortal"
"heroes.name_fancy.undead_female_warrior_costume_rococo","Princesa de la muerte"
"heroes.name_fancy.undead_horned_skeleton","Resto firme"
"heroes.name_fancy.undead_horned_skeleton_costume_cute","Caricatura firme"
"heroes.name_fancy.undead_horned_skeleton_costume_fool","Resto de bufón"
"heroes.name_fancy.undead_horned_skeleton_costume_glass","Vidriera firme"
"heroes.name_fancy.undead_running_skeleton","Resto solemne"
"heroes.name_fancy.undead_running_skeleton_costume_cute","Caricatura solemne"
"heroes.name_fancy.undead_running_skeleton_costume_glass","Resto de cristal"
"heroes.name_fancy.undead_running_skeleton_costume_roman","Resto romano"
"heroes.name_fancy.undead_screaming_zombie","Resto tembloroso"
"heroes.name_fancy.underworld_champion","Guarda pretoriano"
"heroes.name_fancy.underworld_champion_costume_champion","Gladiador pretoriano"
"heroes.name_fancy.underworld_champion_costume_cute","Pretoriano de caricatura"
"heroes.name_fancy.underworld_champion_costume_glass","Vidriera pretoriana"
"heroes.name_fancy.underworld_champion_costume_stylish","Guarda con estilo"
"heroes.name_fancy.underworld_champion_costume_vampire","Vampiro pretoriano"
"heroes.name_fancy.valentines_anteros","Cupido del amor que vuelve"
"heroes.name_fancy.valentines_cupido","Cupido del afecto"
"heroes.name_fancy.valentines_cupido_costume_flame","Cupido de la pasión fogosa"
"heroes.name_fancy.valentines_elba","Defensora incondicional del amor"
"heroes.name_fancy.valentines_eros","Cupido del deseo"
"heroes.name_fancy.valentines_himeros","Cupido del amor no correspondido"
"heroes.name_fancy.valentines_kabeiroi","Armadura locamente enamorada"
"heroes.name_fancy.valentines_lempi","Cupido de la mañana invernal"
"heroes.name_fancy.valentines_matchmaker_dodgrom","Asesor de citas orco"
"heroes.name_fancy.valentines_phthonus","Cupido de la envidia"
"heroes.name_fancy.valentines_vernon","Cupido del duramen"
"heroes.name_fancy.valentines_voluptas","Cupido de las delicias"
"heroes.name_fancy.valentines_voluptas_costume_paint","Cupido de los pintores"
"heroes.name_fancy.valentines_zarola","Cupido de los rompecorazones"
"heroes.name_fancy.valentines_zarola_costume_cowboy","Cupido de los guardabosques solitarios"
"heroes.name_fancy.vampire_king","Rey vampiro"
"heroes.name_fancy.vampire_king_costume_mafia","Rey del crimen"
"heroes.name_fancy.vampire_lord","Secuaz vampiro"
"heroes.name_fancy.vampire_queen","Hija de la noche"
"heroes.name_fancy.vegetable_auberguy","Brujo berenjena"
"heroes.name_fancy.vegetable_bartholomew","Pimiento morrón bárbaro"
"heroes.name_fancy.vegetable_broseph","Chamán brócoli"
"heroes.name_fancy.vegetable_caleb","Soldado repollo"
"heroes.name_fancy.vegetable_elsbeth","Caballero remolacha"
"heroes.name_fancy.vegetable_indigon","Campeón furioso seta"
"heroes.name_fancy.vegetable_onwyn","Bandido cebolla"
"heroes.name_fancy.vegetable_pineon","Prodigio piña"
"heroes.name_fancy.villain_asterius","Minotauro monstruoso"
"heroes.name_fancy.villain_crystalis","Emperatriz de cristal"
"heroes.name_fancy.villain_dark_lord","Pesadilla de Karemdol"
"heroes.name_fancy.villain_dark_lord_costume_astronomer","Astrónomo de Karemdol"
"heroes.name_fancy.villain_edd","Matón zoquete"
"heroes.name_fancy.villain_ingolf","Hersir maldito"
"heroes.name_fancy.villain_isrod","Jarl maldito"
"heroes.name_fancy.villain_karnov","Campeón entre matones"
"heroes.name_fancy.villain_karnov_costume_jammies","Matón en bata"
"heroes.name_fancy.villain_sanngrior","Valkiria caída"
"heroes.name_fancy.villain_skrekok","Alimaña roedora"
"heroes.name_fancy.villain_toxicandra","Soberana de Cerbera"
"heroes.name_fancy.villain_toxicandra_costume_rose","Soberana de la flora"
"heroes.name_fancy.wild_cat_catalina","Corona de la jungla"
"heroes.name_fancy.wild_cat_ferni","Gato de la jungla intrépido"
"heroes.name_fancy.wild_cat_gitnib","Pescador atigrado desafortunado"
"heroes.name_fancy.wild_cat_imagus","Astróloga peluda"
"heroes.name_fancy.wild_cat_lennart","Lince rojo de buena vista"
"heroes.name_fancy.wild_cat_leonie","Leor superviviente"
"heroes.name_fancy.wild_cat_marnes","Pantera apuñalacostados"
"heroes.name_fancy.wild_cat_rajesh","Jefe atigrado glotón"
"heroes.name_fancy.wild_cat_rawn","Ladrón puma"
"heroes.name_fancy.wild_cat_savann","Gato del valle soleado"
"heroes.name_fancy.wild_cat_sharalen","Lince de la frontera implacable"
"heroes.name_fancy.wild_cat_stravia","Mensajera de los Chentari"
"heroes.name_fancy.wild_cat_thaffer","Ladrón de cajas de fuertes atigrado"
"heroes.name_fancy.wild_cat_tunes","Gata andina música"
"heroes.name_fancy.wild_cat_vernix","Leopardo de las nieves maga"
"heroes.name_fancy.witch_king","Maestro de criptas"
"heroes.name_fancy.witch_king_costume_cosmic","Conjurador cósmico"
"heroes.name_fancy.wonderland_alice","Aventurero de las Maravillas"
"heroes.name_fancy.wonderland_alice_costume_warping","Princesa del cróquet de las Maravillas"
"heroes.name_fancy.wonderland_bear","Bestia de las Maravillas"
"heroes.name_fancy.wonderland_captain","Truhán de las Maravillas"
"heroes.name_fancy.wonderland_cheshire_cat","Gatito travieso"
"heroes.name_fancy.wonderland_cheshire_cat_costume_malicious","Gatito malicioso"
"heroes.name_fancy.wonderland_hatter","Enigmático de las Maravillas"
"heroes.name_fancy.wonderland_hatter_costume_tea","Experto en té de las Maravillas"
"heroes.name_fancy.wonderland_jabberwocky","Horror de las Maravillas"
"heroes.name_fancy.wonderland_jabberwocky_costume_moth","Polilla farfullera"
"heroes.name_fancy.wonderland_knave_of_hearts","Ladrón de las Maravillas"
"heroes.name_fancy.wonderland_phoenicus","Intelecto de las Maravillas"
"heroes.name_fancy.wonderland_queen","Monarca de las Maravillas"
"heroes.name_fancy.wonderland_queen_costume_benefactor","Benefactora de las Maravillas"
"heroes.name_fancy.wonderland_tweedles","Gemelos de las Maravillas"
"heroes.name_fancy.wonderland_white_rabbit","Guía de las Maravillas"
"heroes.name_fancy.wonderland_white_rabbit_costume_mask","Máscara de la locura"
