"specials.name.a_cozy_break","Een gezellige pauze"
"specials.name.tumbling_dragon","Tuimelende draak"
"specials.name.tumbling_dragon2","Tuimelende draak"
"specials.name.turquoise_falcon","Turkooizen valk"
"specials.name.twilight_of_crimes","Schemer van misdaden"
"specials.name.twilight_of_ruin","Schemer van ondergang"
"specials.name.twilight_of_sorrow","Droevige schemering"
"specials.name.twilight_star_strike","Schemersterrenslag"
"specials.name.twilight_tricks","Schemertrucjes"
"specials.name.twist_of_fate","Speling van het lot"
"specials.name.twist_of_fate_minor","Verdraaid noodlot"
"specials.name.twostep_swing","Tweetrapsschommel"
"specials.name.ultimate_giftsack","Ultieme zak met geschenken"
"specials.name.unbreakable_brawler","Onverslaanbare Knokker"
"specials.name.unbroken_assault","Ononderbroken aanval"
"specials.name.unchained_jaws","Ontketende kaken"
"specials.name.unchained_jaws_ultimate_boss","Ontketende kaken"
"specials.name.undead_obliteration","Ondode verpulveraar"
"specials.name.undead_penance_poetic","Ondode boetedoening"
"specials.name.undead_rage","Bezweringspijl"
"specials.name.undead_razer","Ondode verwoester"
"specials.name.under_the_surf","Onder de branding"
"specials.name.underwater_magma_cube","Onderwatermagmakubus"
"specials.name.underwater_riddle","Onderwaterraadsel"
"specials.name.undying_heads","Ondode hoofden"
"specials.name.undying_heads_ultimate_boss","Hydrahoofden"
"specials.name.undying_incantation","Ondode-bezwering"
"specials.name.undying_summon","Ondode-aanroep"
"specials.name.unerring_course","Onfeilbare koers"
"specials.name.unfeeling_assailing","Gevoelloze aanval"
"specials.name.unhallowed_spirits","Ongewijde geesten"
"specials.name.unholy_light","Goddeloos licht"
"specials.name.unholy_power","Goddeloze kracht"
"specials.name.unholy_rain","Goddeloze regen"
"specials.name.unite_and_oppose","Weerstand en onttroning"
"specials.name.unnatural_pact","Levenskrachtverslinder"
"specials.name.unrelenting_hunter","Onverbiddelijke jager"
"specials.name.unrelenting_riposte","Onverbiddelijke riposte"
"specials.name.unstoppable_charge","Onstuitbare aanval"
"specials.name.unstoppable_growl","Onstuitbare Grom"
"specials.name.unwavering_devotion","Onwrikbare toewijding"
"specials.name.unwavering_devotion_pve","Onwrikbare toewijding"
"specials.name.unwavering_focus","Onbreekbare concentratie"
"specials.name.unyielding_protector","Onbuigzame beschermer"
"specials.name.unyielding_stance","Onwrikbare houding"
"specials.name.unyielding_sword","Onverzettelijk zwaard"
"specials.name.urgent_gift_delivery","Dringende cadeaulevering"
"specials.name.ursine_protection","Bescherming van de beer"
"specials.name.valiant_lunge","Dappere uitval"
"specials.name.valkyrie_charge","Charge van de Walkuren"
"specials.name.valkyrie_defense","Verdediging van de Walkuren"
"specials.name.valkyrie_resistance","Weerstand van de Walkuren"
"specials.name.valkyrie_rush","Aanval van de Walkuren"
"specials.name.valkyries_fortitude","Standvastigheid van de Walkure"
"specials.name.valorant_strike","Moedige aanval"
"specials.name.valuable_contribution","Waardevolle bijdrage"
"specials.name.vampire_killer","Vampierendoder"
"specials.name.vampiric_cleave","Vampirische houw"
"specials.name.vampiric_curse","Vampiervloek"
"specials.name.vampiric_heist","Vampirische roof"
"specials.name.vampiric_touch","Hand van de Vampier"
"specials.name.vanguard_of_passion","Voorhoede van passie"
"specials.name.vantage_point","Uitkijkpunt"
"specials.name.vapors_of_the_underworld","Dampen uit de onderwereld"
"specials.name.vast_ward","Robuuste beschermeling"
"specials.name.vengeance_of_owlhalla","Wraak van Uilhalla"
"specials.name.vengeful_backstab","Wraakzuchtige steek in de rug"
"specials.name.vengeful_scythe","Wraakzuchtige zeis"
"specials.name.venom_guard","Gifwachter"
"specials.name.venom_slash","Gifslag"
"specials.name.venomfang_concoction","Giftandmengsel"
"specials.name.venomous_claws","Giftige klauwen"
"specials.name.venomous_jab","Gifsteek"
"specials.name.venomous_spores","Giftige sporen"
"specials.name.venomous_sting_dragon_pve","Giftige steek"
"specials.name.verdant_mirror","Groene spiegel"
"specials.name.verdant_trap","Groene valstrik"
"specials.name.vertical_slash","Verticale slag"
"specials.name.vicious_axe","Venijnige bijl"
"specials.name.vicious_cyclone","Wrede cycloon"
"specials.name.vicious_strike","Wrede aanval"
"specials.name.vicious_trap","Wrede val"
"specials.name.vigilante_punch","Stoot van een burgerwacht"
"specials.name.vigorous_aegis","Energieke aegis"
"specials.name.vigorous_villanelle","Energieke villanelle"
"specials.name.vile_blessing","Verzwakkende Vloek"
"specials.name.villain_swing","Slag van een schurk"
"specials.name.viper_blade","Adderzwaard"
"specials.name.viper_blade_costume_bear_slayer","Berenzwaard"
"specials.name.viscous_shield_justico","Taai schild"
"specials.name.vitalizing_show","Bezielend spektakel"
"specials.name.vitrail_flames","Vitrail-vlammen"
"specials.name.viziers_curse","Zandorkaan"
"specials.name.voice_of_authority","Stem van autoriteit"
"specials.name.void_blast","Vacuümstoot"
"specials.name.void_bomb","Vacuümbom"
"specials.name.void_orb_dragon_pve","Leegtebol"
"specials.name.voidshield","Leemteschild"
"specials.name.volatile_crystal_conduit","Wispelturige kristalgeleider"
"specials.name.volcanic_blast","Vulkanische knal"
"specials.name.volcanic_boulders","Vulkanische rotsen"
"specials.name.volcanic_eruption","Vulkaanuitbarsting"
"specials.name.volcanic_explosion","Vulkanische explosie"
"specials.name.volcanic_flareup","Vulkanische uitbarsting"
"specials.name.volcanic_rush","Vulkanische stormaanval"
"specials.name.volcanic_shell","Vulkanische schelp"
"specials.name.volcanic_tantrum","Toon-explosie"
"specials.name.volley_of_dark_stars","Salvo van duistere sterren"
"specials.name.voluminous_vigor","Volumineuze vitaliteit"
"specials.name.wall_of_ice","Muur van ijs"
"specials.name.wall_of_ki","Ki-muur"
"specials.name.wall_of_ki2","Ki-muur"
"specials.name.wall_of_swords","Muur van Zwaarden"
"specials.name.wallet_pulverizer","Versplinterende abacus"
"specials.name.wand_of_mana_control","Staf van manacontrole"
"specials.name.wand_of_mana_trickery","Staf van manabedrog"
"specials.name.wandering_star_shot","Zwervend sterrenschot"
"specials.name.war_feast","Oorlogsfeest"
"specials.name.war_song","Oorlogslied"
"specials.name.warcry","Strijdkreet"
"specials.name.warcry_of_the_hunt","Strijdkreet van de jacht"
"specials.name.warcry_of_the_jungle","Oorlogskreet van de jungle"
"specials.name.warding_off_evil","Verjagen van kwade geesten"
"specials.name.warped_timepiece","Verwrongen uurwerk"
"specials.name.watchful_duty","Waakzame plicht"
"specials.name.water_jet_dragon_pve","Waterjet"
"specials.name.waters_of_nourishment","Wateren van voeding"
"specials.name.watery_grave","Verdrinkingsdood"
"specials.name.weakening_strike","Verzwakkende aanval"
"specials.name.web_of_spies","Web van spionnen"
"specials.name.welding_sweep_dragon_pve","Lassende veeg"
"specials.name.whimsical_aid","Grillige hulp"
"specials.name.whirlpool","Draaikolk"
"specials.name.whirlpool_dash","Draaikolkplens"
"specials.name.whirlwind_blows","Klappen van de wervelwind"
"specials.name.whispers_of_xulu","Fluisteringen van Xulu"
"specials.name.whiteout","Verblindende sneeuw"
"specials.name.wicked_witchcraft","Helse Hekserij"
"specials.name.wide_slash","Brede houw"
"specials.name.widows_kiss","Weduwenkus"
"specials.name.wild_cleave","Wilde houw"
"specials.name.wild_growth","Wildgroei"
"specials.name.will_of_fire","Wil van het vuur"
"specials.name.wily_wisps","Sluwe flarden"
"specials.name.wind_gospel","Windevangelie"
"specials.name.wind_prayer","Windgebed"
"specials.name.wings_of_destruction_pve","Vleugels van verwoesting"
"specials.name.wings_of_force","Krachtvleugels"
"specials.name.wings_of_frost","Vleugels van vorst"
"specials.name.wings_of_laceration","Vleugels van kwelling"
"specials.name.wings_of_recovery","Vleugels van herstel"
"specials.name.wings_of_shadow","Vleugels van schaduw"
"specials.name.wings_of_thorn","Vleugels van doornen"
"specials.name.wisdom_of_the_gnomes","Wijsheid der kabouters"
"specials.name.wise_mans_counsel","Raad van een wijze man"
"specials.name.witch_killer","Heksendoder"
"specials.name.witch_slayer","Heksenslachter"
"specials.name.withering_seasons","Verwelkende seizoenen"
"specials.name.wolf_bite","Wolvenbeet"
"specials.name.word_of_queen","Koninginnenwoord"
"specials.name.word_of_skies","Woord van de lucht"
"specials.name.worm_bite","Insectenbeet"
"specials.name.wounding_strike","Verwondende slag"
"specials.name.wrap","Omwikkeling"
"specials.name.wrath_of_fate","Wraak van het lot"
"specials.name.wrath_of_frozen_soul","Wraak der bevroren zielen"
"specials.name.wrath_of_the_ancient","Wraak der oudheid"
"specials.name.wrath_of_the_nine_beaks","Wraak van de negen snavels"
"specials.name.wrath_of_tundra","Wraak van de Toendra"
"specials.name.wrathful_sting","Wraaklustige steek"
"specials.name.wrenching_strike","Wringende aanval"
"specials.name.xenda_special","Onderwereldbrand"
"specials.name.xenda_special_costume","Onderwereldse vlam"
"specials.name.yellow_beetloid_bite","Gele keveroïdenbeet"
"specials.name.yellow_signs","Gele tekenen"
"specials.name.yurei","Yurei"
"specials.name.zombie_curse","Zombiezegening"
"specials.name.zombie_invocation","Zombie-invocatie"
"specials.name.zooming_lunge","Supersnelle uitval"
