"heroes.name_fancy.astral_cosmicspeaker","아스트랄 엘프 천문학자"
"heroes.name_fancy.villain_edd","멍청한 건달"
"heroes.name_fancy.villain_ingolf","파멸의 허서"
"heroes.name_fancy.villain_isrod","파멸의 얄"
"heroes.name_fancy.villain_karnov","챔피언 난동꾼"
"heroes.name_fancy.villain_karnov_costume_jammies","베드타임 브루저"
"heroes.name_fancy.villain_sanngrior","쓰러진 발키리"
"heroes.name_fancy.villain_skrekok","랫맨 악당"
"heroes.name_fancy.villain_toxicandra","세르베라의 군주"
"heroes.name_fancy.villain_toxicandra_costume_rose","식물의 주권자"
"heroes.name_fancy.wild_cat_catalina","정글의 왕관"
"heroes.name_fancy.wild_cat_ferni","모험적인 열대우림 고양이"
"heroes.name_fancy.wild_cat_gitnib","불운한 티그리스 어부"
"heroes.name_fancy.wild_cat_imagus","푹신한 별자리주의자"
"heroes.name_fancy.wild_cat_lennart","날카로운 눈의 밥캣"
"heroes.name_fancy.wild_cat_leonie","생존자 레오"
"heroes.name_fancy.wild_cat_marnes","측면 찌르기 표범"
"heroes.name_fancy.wild_cat_rajesh","미식가 티그리스 수석"
"heroes.name_fancy.wild_cat_rawn","쿠거 도둑"
"heroes.name_fancy.wild_cat_savann","태양이 내리쬐는 계곡의 고양이"
"heroes.name_fancy.wild_cat_sharalen","무자비한 최전선 스라소니"
"heroes.name_fancy.wild_cat_stravia","첸타리의 전령"
"heroes.name_fancy.wild_cat_thaffer","금고털이 얼룩 고양이"
"heroes.name_fancy.wild_cat_tunes","산악 살쾡이 음악가"
"heroes.name_fancy.wild_cat_vernix","설표 마법사"
"heroes.name_fancy.witch_king","납골당의 주인"
"heroes.name_fancy.witch_king_costume_cosmic","우주 마법사"
"heroes.name_fancy.wonderland_alice","원더랜드의 모험가"
"heroes.name_fancy.wonderland_alice_costume_warping","이상한 나라의 크로켓 공주"
"heroes.name_fancy.wonderland_bear","원더랜드 야수"
"heroes.name_fancy.wonderland_captain","원더랜드의 거짓말쟁이"
"heroes.name_fancy.wonderland_cheshire_cat","말썽꾸러기 고양이"
"heroes.name_fancy.wonderland_cheshire_cat_costume_malicious","말썽꾸러기 고양이"
"heroes.name_fancy.wonderland_hatter","원더랜드의 수수께끼꾼"
"heroes.name_fancy.wonderland_hatter_costume_tea","이상한 나라의 차 전문가"
"heroes.name_fancy.wonderland_jabberwocky","원더랜드의 공포"
"heroes.name_fancy.wonderland_jabberwocky_costume_moth","재버모스"
"heroes.name_fancy.wonderland_knave_of_hearts","이상한 나라의 도둑"
"heroes.name_fancy.wonderland_phoenicus","원더랜드의 지식인"
"heroes.name_fancy.wonderland_queen","원더랜드의 군주"
"heroes.name_fancy.wonderland_queen_costume_benefactor","이상한 나라의 후원자"
"heroes.name_fancy.wonderland_tweedles","이상한 나라의 쌍둥이"
"heroes.name_fancy.wonderland_white_rabbit","원더랜드 안내자"
"heroes.name_fancy.wonderland_white_rabbit_costume_mask","광기의 가면"
