"heroes.name_fancy.astral_cosmicspeaker","アストラルエルフの天文学者"
"heroes.name_fancy.tales1_mulgog","フィッシュマンの略奪者"
"heroes.name_fancy.tales1_mulgog_costume_bard","フィッシュマンの吟遊詩人"
"heroes.name_fancy.tales1_persa","略奪の水の精霊"
"heroes.name_fancy.tales1_persa_costume_jellyfish_noble","クラゲ貴人"
"heroes.name_fancy.tales1_phorcys","原始の深淵の神"
"heroes.name_fancy.tales1_phorcys_costume_warrior_god","深淵の戦神"
"heroes.name_fancy.tales1_sharkhai","酷い裏切り者"
"heroes.name_fancy.tales1_sharkhai_costume_butcher","ギザギザのブッチャー"
"heroes.name_fancy.tales1_spartoi","蛇神の無敵の戦士"
"heroes.name_fancy.tales1_spartoi_costume_guard","蛇神の衛兵"
"heroes.name_fancy.tales1_thalassa","原始の海の女神"
"heroes.name_fancy.tales1_thalassa_costume_crystals","原始のクリスタルの女神"
"heroes.name_fancy.tales1_ultrox","深海の堂守"
"heroes.name_fancy.tales1_ultrox_costume_ethereal","深海の汲み上げる者"
"heroes.name_fancy.tales2_aethslegaur","ドワーフの炎探求者"
"heroes.name_fancy.tales2_aethslegaur_costume_soul_seeker","ドワーフの魂の探求者"
"heroes.name_fancy.tales2_andvari","ドワーフの予言者"
"heroes.name_fancy.tales2_andvari_costume_c1","ドワーフの回復者"
"heroes.name_fancy.tales2_bragi","ドワーフの拳闘士"
"heroes.name_fancy.tales2_bryggvir","ドワーフの山羊乗り"
"heroes.name_fancy.tales2_dagr","ドワーフの山のシャーマン"
"heroes.name_fancy.tales2_dagr_costume_plague_shaman","ドワーフの疫病シャーマン"
"heroes.name_fancy.tales2_dain","ドワーフの攻城戦指揮官"
"heroes.name_fancy.tales2_dularfulr","ドワーフの闇探求者"
"heroes.name_fancy.tales2_dularfulr_costume_engineer","ドワーフの闇の技術者"
"heroes.name_fancy.tales2_fafnir","ミークハイムのドワーフ王"
"heroes.name_fancy.tales2_fimafeng","ドワーフのサバイバリスト"
"heroes.name_fancy.tales2_fjalar","ドワーフの黄金吟唱詩人"
"heroes.name_fancy.tales2_fjalar_costume_undead","幽霊のごときドワーフ吟唱詩人"
"heroes.name_fancy.tales2_gandr","ドワーフの風戦士"
"heroes.name_fancy.tales2_gandr_costume_guardian","ドワーフの王属戦士"
"heroes.name_fancy.tales2_helgi","ドワーフのレイジランナー"
"heroes.name_fancy.tales2_helgi_costume_combatant","ドワーフの補給者"
"heroes.name_fancy.tales2_hogne","ドワーフの偉大な騎士"
"heroes.name_fancy.tales2_hreidmarr","ドワーフの山の王"
"heroes.name_fancy.tales2_motsognir","ドワーフの辺境の蛮人"
"heroes.name_fancy.tales2_ott","ドワーフの陽気なぺてん師"
"heroes.name_fancy.tales2_ott_costume_herbalist","ドワーフの陽気なぺてん師"
"heroes.name_fancy.tales2_regin","ドワーフの伝説の王子"
"heroes.name_fancy.tales2_regin_costume_omen","堕落したドワーフの王子"
"heroes.name_fancy.tales2_snorri","ドワーフの語り部"
"heroes.name_fancy.tales2_svafa","ドワーフの大物ハンター"
"heroes.name_fancy.tales2_thrivaldi","ドワーフの氷の探求者"
"heroes.name_fancy.titan_hunter_adelitza","熱帯雨林の先導者"
"heroes.name_fancy.titan_hunter_avestalon","密林の罠師"
"heroes.name_fancy.titan_hunter_borgholf","森の罠師"
"heroes.name_fancy.titan_hunter_brachynd","入江の番人"
"heroes.name_fancy.titan_hunter_konradus","ツンドラの尖兵"
"heroes.name_fancy.titan_hunter_lumi_and_taiga","ツンドラの守り手"
"heroes.name_fancy.titan_hunter_orson","森の番人"
"heroes.name_fancy.titan_hunter_savanna","荒野の尖兵"
"heroes.name_fancy.titan_hunter_veldt","荒野の罠師"
"heroes.name_fancy.titan_hunter_vendela","入り江の尖兵"
"heroes.name_fancy.trainer","傭剣士"
"heroes.name_fancy.tribal_chief","族頭"
"heroes.name_fancy.tribal_chief_costume_conqueror","部族の復讐者"
"heroes.name_fancy.tribal_chief_costume_cute","アニメ風の首長"
"heroes.name_fancy.tribal_chief_costume_glass","ヴィトレイルの首長"
"heroes.name_fancy.tribal_chief_costume_leopard","ヒョウの首長"
"heroes.name_fancy.undead_captain_warrior","死必卿"
"heroes.name_fancy.undead_captain_warrior_costume_cute","アニメ風のデスバウンド"
"heroes.name_fancy.undead_captain_warrior_costume_glass","デスバウンドのヴィトレイル"
"heroes.name_fancy.undead_captain_warrior_costume_prince","不死身の王子"
"heroes.name_fancy.undead_captain_warrior_costume_reveller","お祭り騒ぎの死人"
"heroes.name_fancy.undead_captain_warrior_costume_stylish","スタイリッシュな死必卿"
"heroes.name_fancy.undead_female_warrior","死必女卿"
"heroes.name_fancy.undead_female_warrior_costume_cute","アニメ風の不死身"
"heroes.name_fancy.undead_female_warrior_costume_glass","デスバウンドのヴィトレイル"
"heroes.name_fancy.undead_female_warrior_costume_princess","不死身の王妃"
"heroes.name_fancy.undead_female_warrior_costume_rococo","デスバウンドの王女"
"heroes.name_fancy.undead_horned_skeleton","慈悲なき端者"
"heroes.name_fancy.undead_horned_skeleton_costume_cute","アニメ風の無慈悲なる者"
"heroes.name_fancy.undead_horned_skeleton_costume_fool","道化師の名残"
"heroes.name_fancy.undead_horned_skeleton_costume_glass","慈悲なきヴィトレイル"
"heroes.name_fancy.undead_running_skeleton","重苦の残者"
"heroes.name_fancy.undead_running_skeleton_costume_cute","アニメ風の重苦"
"heroes.name_fancy.undead_running_skeleton_costume_glass","ガラスの残党"
"heroes.name_fancy.undead_running_skeleton_costume_roman","帝国の残者"
"heroes.name_fancy.undead_screaming_zombie","散発の残者"
"heroes.name_fancy.underworld_champion","近衛兵"
"heroes.name_fancy.underworld_champion_costume_champion","剣闘士の近衛兵"
"heroes.name_fancy.underworld_champion_costume_cute","アニメ風の近衛兵"
"heroes.name_fancy.underworld_champion_costume_glass","バンパイアのヴィトレイル"
"heroes.name_fancy.underworld_champion_costume_stylish","スタイリッシュな近衛兵"
"heroes.name_fancy.underworld_champion_costume_vampire","バンパイアの近衛兵"
"heroes.name_fancy.valentines_anteros","両想いのキューピッド"
"heroes.name_fancy.valentines_cupido","恋のキューピッド"
"heroes.name_fancy.valentines_cupido_costume_flame","燃え盛る情熱のキューピッド"
"heroes.name_fancy.valentines_elba","勇敢な愛の守護者"
"heroes.name_fancy.valentines_eros","欲望のキューピッド"
"heroes.name_fancy.valentines_himeros","片思いのキューピッド"
"heroes.name_fancy.valentines_kabeiroi","恋煩いのメカ好き"
"heroes.name_fancy.valentines_lempi","冬の朝のキューピッド"
"heroes.name_fancy.valentines_matchmaker_dodgrom","オークのデートコンサルタント"
"heroes.name_fancy.valentines_phthonus","嫉妬のキューピッド"
"heroes.name_fancy.valentines_vernon","心材のキューピッド"
"heroes.name_fancy.valentines_voluptas","喜びのキューピッド"
"heroes.name_fancy.valentines_voluptas_costume_paint","画家のキューピッド"
"heroes.name_fancy.valentines_zarola","失恋のキューピッド"
"heroes.name_fancy.valentines_zarola_costume_cowboy","ローンレンジャーのキューピッド"
"heroes.name_fancy.vampire_king","バンパイアキング"
"heroes.name_fancy.vampire_king_costume_mafia","犯罪王"
"heroes.name_fancy.vampire_lord","バンパイア兵"
"heroes.name_fancy.vampire_queen","夜の申し子"
"heroes.name_fancy.vegetable_auberguy","ナスの魔術師"
"heroes.name_fancy.vegetable_bartholomew","ピーマンの野人"
"heroes.name_fancy.vegetable_broseph","ブロッコリーのシャーマン"
"heroes.name_fancy.vegetable_caleb","キャベツの兵士"
"heroes.name_fancy.vegetable_elsbeth","ビートルートの騎士"
"heroes.name_fancy.vegetable_indigon","怒れるキノコのチャンピオン"
"heroes.name_fancy.vegetable_onwyn","タマネギの盗賊"
"heroes.name_fancy.vegetable_pineon","パイナップルの英才"
"heroes.name_fancy.villain_asterius","怪物ミノタウロス"
"heroes.name_fancy.villain_crystalis","水晶の女帝"
"heroes.name_fancy.villain_dark_lord","ケアムドールの災い"
"heroes.name_fancy.villain_dark_lord_costume_astronomer","カレムドールの星読み"
"heroes.name_fancy.villain_edd","頑固な賊"
"heroes.name_fancy.villain_ingolf","絶望のヘルシール"
"heroes.name_fancy.villain_isrod","絶望のヤール"
"heroes.name_fancy.villain_karnov","王者のブルーザー"
"heroes.name_fancy.villain_karnov_costume_jammies","宵闇の乱暴者"
"heroes.name_fancy.villain_sanngrior","失墜ヴァルキリー"
"heroes.name_fancy.villain_skrekok","ネズミ男の悪党"
"heroes.name_fancy.villain_toxicandra","ケルベラの君主"
"heroes.name_fancy.villain_toxicandra_costume_rose","木々を統べる者"
"heroes.name_fancy.wild_cat_catalina","ジャングルの女王"
"heroes.name_fancy.wild_cat_ferni","冒険的な熱帯雨林のネコ"
"heroes.name_fancy.wild_cat_gitnib","不運なトラの釣り師"
"heroes.name_fancy.wild_cat_imagus","モフモフの占星学者"
"heroes.name_fancy.wild_cat_lennart","目つきの鋭いボブキャット"
"heroes.name_fancy.wild_cat_leonie","ライオンの生き残り"
"heroes.name_fancy.wild_cat_marnes","脇刺しのパンサー"
"heroes.name_fancy.wild_cat_rajesh","美食家トラの族長"
"heroes.name_fancy.wild_cat_rawn","泥棒クーガー"
"heroes.name_fancy.wild_cat_savann","太陽に恵まれた谷のネコ"
"heroes.name_fancy.wild_cat_sharalen","無慈悲な前線のオオヤマネコ"
"heroes.name_fancy.wild_cat_stravia","チェンタリの使者"
"heroes.name_fancy.wild_cat_thaffer","金庫破りのトラネコ"
"heroes.name_fancy.wild_cat_tunes","ヤマネコの音楽家"
"heroes.name_fancy.wild_cat_vernix","スノーレオパルドの魔法使い"
"heroes.name_fancy.witch_king","クリプトマスター"
"heroes.name_fancy.witch_king_costume_cosmic","宇宙奇術師"
"heroes.name_fancy.wonderland_alice","不思議の国の冒険者"
"heroes.name_fancy.wonderland_alice_costume_warping","不思議の国のクロケット王女"
"heroes.name_fancy.wonderland_bear","不思議の国の獣"
"heroes.name_fancy.wonderland_captain","不思議の国の悪党"
"heroes.name_fancy.wonderland_cheshire_cat","いたずら子猫"
"heroes.name_fancy.wonderland_cheshire_cat_costume_malicious","邪悪な子猫"
"heroes.name_fancy.wonderland_hatter","不思議の国の謎掛け"
"heroes.name_fancy.wonderland_hatter_costume_tea","不思議の国のティーソムリエ"
"heroes.name_fancy.wonderland_jabberwocky","不思議の国の恐怖"
"heroes.name_fancy.wonderland_jabberwocky_costume_moth","ジャバーモス"
"heroes.name_fancy.wonderland_knave_of_hearts","不思議の国の盗人"
"heroes.name_fancy.wonderland_phoenicus","不思議の国の識者"
"heroes.name_fancy.wonderland_queen","不思議の国の王者"
"heroes.name_fancy.wonderland_queen_costume_benefactor","不思議の国の恩人"
"heroes.name_fancy.wonderland_tweedles","不思議の国の双子"
"heroes.name_fancy.wonderland_white_rabbit","不思議の国の案内人"
"heroes.name_fancy.wonderland_white_rabbit_costume_mask","狂気の仮面"
