"heroes.name_fancy.astral_cosmicspeaker","Astral-elvernes astronom"
"heroes.name_fancy.undead_running_skeleton","Alvorlig efterkommer"
"heroes.name_fancy.undead_running_skeleton_costume_cute","Højtidelig tegneseriefigur"
"heroes.name_fancy.undead_running_skeleton_costume_glass","Glasrest"
"heroes.name_fancy.undead_running_skeleton_costume_roman","Romersk efterkommer"
"heroes.name_fancy.undead_screaming_zombie","Sjokkende efterkommer"
"heroes.name_fancy.underworld_champion","Prætoriansk livvagt"
"heroes.name_fancy.underworld_champion_costume_champion","Prætoriansk gladiator"
"heroes.name_fancy.underworld_champion_costume_cute","Prætoriansk tegneseriefigur"
"heroes.name_fancy.underworld_champion_costume_glass","Prætoriansk vitrail"
"heroes.name_fancy.underworld_champion_costume_stylish","Stilfuld bodyguard"
"heroes.name_fancy.underworld_champion_costume_vampire","Prætoriansk vampyr"
"heroes.name_fancy.valentines_anteros","Amors genkomst"
"heroes.name_fancy.valentines_cupido","Amors omsorg"
"heroes.name_fancy.valentines_cupido_costume_flame","Den brændende passions amor"
"heroes.name_fancy.valentines_elba","Kærlighedens trofaste beskytter"
"heroes.name_fancy.valentines_eros","Begærets amor"
"heroes.name_fancy.valentines_himeros","Den ugengældte kærligheds amor"
"heroes.name_fancy.valentines_kabeiroi","Den forelskede mekaniker"
"heroes.name_fancy.valentines_lempi","Vintermorgenens amor"
"heroes.name_fancy.valentines_matchmaker_dodgrom","Orkernes kærlighedskonsulent"
"heroes.name_fancy.valentines_phthonus","Misundelsens amor"
"heroes.name_fancy.valentines_vernon","Kernevedets amor"
"heroes.name_fancy.valentines_voluptas","Frydens amor"
"heroes.name_fancy.valentines_voluptas_costume_paint","Malernes amor"
"heroes.name_fancy.valentines_zarola","Hjerteknusernes amor"
"heroes.name_fancy.valentines_zarola_costume_cowboy","De ensomme rangers amor"
"heroes.name_fancy.vampire_king","Vampyrkonge"
"heroes.name_fancy.vampire_king_costume_mafia","Forbrydelsens konge"
"heroes.name_fancy.vampire_lord","Vampyrhåndlanger"
"heroes.name_fancy.vampire_queen","Nattens barn"
"heroes.name_fancy.vegetable_bartholomew","Peberfrugt-barbar"
"heroes.name_fancy.vegetable_elsbeth","Rødbederidder"
"heroes.name_fancy.villain_asterius","Monstrøs minotaur"
"heroes.name_fancy.villain_crystalis","Krystalkejserinde"
"heroes.name_fancy.villain_dark_lord","Døden fra Karemdol"
"heroes.name_fancy.villain_dark_lord_costume_astronomer","Karemdols astronom"
"heroes.name_fancy.villain_edd","Tykhovedet bisse"
"heroes.name_fancy.villain_ingolf","Forbandet herse"
"heroes.name_fancy.villain_isrod","Forbandet jarl"
"heroes.name_fancy.villain_karnov","Mesterkæmper"
"heroes.name_fancy.villain_karnov_costume_jammies","Søvnig slagsbror"
"heroes.name_fancy.villain_sanngrior","Fortabt valkyrie"
"heroes.name_fancy.villain_skrekok","Rotteskurk"
"heroes.name_fancy.villain_toxicandra","Hersker over Cerbera"
"heroes.name_fancy.villain_toxicandra_costume_rose","Hersker over Flora"
"heroes.name_fancy.wild_cat_catalina","Junglens krone"
"heroes.name_fancy.wild_cat_ferni","Eventyrlig regnskovskat"
"heroes.name_fancy.wild_cat_gitnib","Uheldig Tigrisfisker"
"heroes.name_fancy.wild_cat_imagus","Dunet astrolog"
"heroes.name_fancy.wild_cat_lennart","Klarsynet rødkat"
"heroes.name_fancy.wild_cat_leonie","Leor-overlever"
"heroes.name_fancy.wild_cat_marnes","Flankedolkende panter"
"heroes.name_fancy.wild_cat_rajesh","Gourmand tigris-kok"
"heroes.name_fancy.wild_cat_rawn","Pumaindbrudstyv"
"heroes.name_fancy.wild_cat_savann","Den solvelsignede dals kat"
"heroes.name_fancy.wild_cat_sharalen","Nådeløs frontlinjelos"
"heroes.name_fancy.wild_cat_stravia","Chentaris sendebud"
"heroes.name_fancy.wild_cat_thaffer","Stribet pengeskabstyv"
"heroes.name_fancy.wild_cat_tunes","Bjergkat-musiker"
"heroes.name_fancy.wild_cat_vernix","Snehvid visleopard"
"heroes.name_fancy.witch_king","Mester af krypter"
"heroes.name_fancy.witch_king_costume_cosmic","Kosmisk besværger"
"heroes.name_fancy.wonderland_alice","Eventyrlandets eventyrer"
"heroes.name_fancy.wonderland_alice_costume_warping","Eventyrlandets kroketprinsesse"
"heroes.name_fancy.wonderland_bear","Eventyrlandets bæst"
"heroes.name_fancy.wonderland_captain","Eventyrlandets slyngel"
"heroes.name_fancy.wonderland_cheshire_cat","Ondskabsfuld kat"
"heroes.name_fancy.wonderland_cheshire_cat_costume_malicious","Ondsindet misser"
"heroes.name_fancy.wonderland_hatter","Eventyrlandets gådestiller"
"heroes.name_fancy.wonderland_hatter_costume_tea","Eventyrlandets te-feinschmecker"
"heroes.name_fancy.wonderland_jabberwocky","Eventyrlandets skræk"
"heroes.name_fancy.wonderland_jabberwocky_costume_moth","Kloppermøl"
"heroes.name_fancy.wonderland_knave_of_hearts","Eventyrlandets tyv"
"heroes.name_fancy.wonderland_phoenicus","Eventyrlandets begavelse"
"heroes.name_fancy.wonderland_queen","Eventyrlandets monark"
"heroes.name_fancy.wonderland_queen_costume_benefactor","Eventyrlandets velgører"
"heroes.name_fancy.wonderland_tweedles","Eventyrlandets tvillinger"
"heroes.name_fancy.wonderland_white_rabbit","Eventyrlandets guide"
"heroes.name_fancy.wonderland_white_rabbit_costume_mask","Vanvidsmaske"
