"heroes.name_fancy.astral_cosmicspeaker","Astrônomo dos Elfos Astrais"
"heroes.name_fancy.tales2_ott","Vigarista Sorridente dos Anões"
"heroes.name_fancy.tales2_ott_costume_herbalist","Maestro Vigarista dos Anões"
"heroes.name_fancy.tales2_regin","Príncipe Lendário dos Anões"
"heroes.name_fancy.tales2_regin_costume_omen","Príncipe Desgraçado dos Anões"
"heroes.name_fancy.tales2_snorri","Contador de Histórias dos Anões"
"heroes.name_fancy.tales2_svafa","Caçador dos Anões"
"heroes.name_fancy.tales2_thrivaldi","Perseguidor do Gelo dos Anões"
"heroes.name_fancy.titan_hunter_adelitza","Vanguarda da floresta tropical"
"heroes.name_fancy.titan_hunter_borgholf","Armadilheiro da mata"
"heroes.name_fancy.titan_hunter_lumi_and_taiga","Guardiã da tundra"
"heroes.name_fancy.trainer","Espada de Aluguel"
"heroes.name_fancy.tribal_chief","Chefe das Tribos"
"heroes.name_fancy.tribal_chief_costume_conqueror","Vingador das Tribos"
"heroes.name_fancy.tribal_chief_costume_cute","Chefe das Fofuras"
"heroes.name_fancy.tribal_chief_costume_glass","Chefe dos Vitrais"
"heroes.name_fancy.tribal_chief_costume_leopard","Chefe dos Leopardos"
"heroes.name_fancy.undead_captain_warrior","Senhor da Morte"
"heroes.name_fancy.undead_captain_warrior_costume_cute","Fofura Morta-Viva"
"heroes.name_fancy.undead_captain_warrior_costume_glass","Vitral da Morte"
"heroes.name_fancy.undead_captain_warrior_costume_prince","Príncipe Imortal"
"heroes.name_fancy.undead_captain_warrior_costume_reveller","Folião da Morte"
"heroes.name_fancy.undead_female_warrior","Senhora da Morte"
"heroes.name_fancy.undead_female_warrior_costume_cute","Fofura Imortal"
"heroes.name_fancy.undead_female_warrior_costume_glass","Vitral da Morte"
"heroes.name_fancy.undead_female_warrior_costume_princess","Princesa Imortal"
"heroes.name_fancy.undead_female_warrior_costume_rococo","Princesa Condenada"
"heroes.name_fancy.undead_horned_skeleton","Remanescente Implacável"
"heroes.name_fancy.undead_horned_skeleton_costume_cute","Fofura Implacável"
"heroes.name_fancy.undead_horned_skeleton_costume_fool","Remanescente Jocoso"
"heroes.name_fancy.undead_horned_skeleton_costume_glass","Vitral Implacável"
"heroes.name_fancy.undead_running_skeleton","Remanescente Solene"
"heroes.name_fancy.undead_running_skeleton_costume_cute","Fofura Solene"
"heroes.name_fancy.undead_running_skeleton_costume_glass","Remanescente de Vidro"
"heroes.name_fancy.undead_running_skeleton_costume_roman","Remanescente Romano"
"heroes.name_fancy.undead_screaming_zombie","Remanescente Sacolejante"
"heroes.name_fancy.underworld_champion","Guarda-costas pretoriano"
"heroes.name_fancy.underworld_champion_costume_champion","Gladiador Pretoriano"
"heroes.name_fancy.underworld_champion_costume_cute","Pretoriano Fofo"
"heroes.name_fancy.underworld_champion_costume_glass","Vitral Pretoriano"
"heroes.name_fancy.underworld_champion_costume_stylish","Guarda-costas estiloso"
"heroes.name_fancy.underworld_champion_costume_vampire","Vampiro Pretoriano"
"heroes.name_fancy.valentines_anteros","Cupido do Amor Correspondido"
"heroes.name_fancy.valentines_cupido","Cupido do Afeto"
"heroes.name_fancy.valentines_cupido_costume_flame","Cupido da paixão"
"heroes.name_fancy.valentines_elba","Defensora do Amor"
"heroes.name_fancy.valentines_eros","Cupido do Desejo"
"heroes.name_fancy.valentines_himeros","Cupido do Amor Não Correspondido"
"heroes.name_fancy.valentines_kabeiroi","Nerd Apaixonada"
"heroes.name_fancy.valentines_lempi","Cupido da manhã de inverno"
"heroes.name_fancy.valentines_matchmaker_dodgrom","Orc Casamenteiro"
"heroes.name_fancy.valentines_phthonus","Cupido da Inveja"
"heroes.name_fancy.valentines_vernon","Cupido do cerne da madeira"
"heroes.name_fancy.valentines_voluptas","Cupido das Delícias"
"heroes.name_fancy.valentines_voluptas_costume_paint","Cupido dos pintores"
"heroes.name_fancy.valentines_zarola","Cupido dos Conquistadores"
"heroes.name_fancy.valentines_zarola_costume_cowboy","Cupido dos patrulheiros solitários"
"heroes.name_fancy.vampire_king","Rei Vampiro"
"heroes.name_fancy.vampire_king_costume_mafia","Rei do Crime"
"heroes.name_fancy.vampire_lord","Capanga do Vampiro"
"heroes.name_fancy.vampire_queen","Filho da noite"
"heroes.name_fancy.vegetable_bartholomew","Bárbaro do Pimentão"
"heroes.name_fancy.vegetable_elsbeth","Cavaleiro da Beterraba"
"heroes.name_fancy.villain_asterius","Minotauro Monstruoso"
"heroes.name_fancy.villain_crystalis","Imperatriz do Cristal"
"heroes.name_fancy.villain_dark_lord","Ruína of Karemdol"
"heroes.name_fancy.villain_dark_lord_costume_astronomer","Astrônomo de Karemdol"
"heroes.name_fancy.villain_edd","Brutamontes Tapado"
"heroes.name_fancy.villain_ingolf","Hersir Amaldiçoado"
"heroes.name_fancy.villain_isrod","Jarl Amaldiçoado"
"heroes.name_fancy.villain_karnov","Brutamontes Campeão"
"heroes.name_fancy.villain_karnov_costume_jammies","Brutamontes Noturno"
"heroes.name_fancy.villain_sanngrior","Valquíria Desgraçada"
"heroes.name_fancy.villain_skrekok","Patife Rato"
"heroes.name_fancy.villain_toxicandra","Soberana de Cerbera"
"heroes.name_fancy.villain_toxicandra_costume_rose","Soberana da Flora"
"heroes.name_fancy.wild_cat_catalina","Coroa da selva"
"heroes.name_fancy.wild_cat_ferni","Gata da Selva Aventureira"
"heroes.name_fancy.wild_cat_gitnib","Pescador desafortunado"
"heroes.name_fancy.wild_cat_imagus","Constelacionista Felpudo"
"heroes.name_fancy.wild_cat_lennart","Lince de Olhar Afiado"
"heroes.name_fancy.wild_cat_leonie","Sobrevivente de Leor"
"heroes.name_fancy.wild_cat_marnes","Pantera Traiçoeira"
"heroes.name_fancy.wild_cat_rajesh","Chefe Gourmand"
"heroes.name_fancy.wild_cat_rawn","Ladrão felino"
"heroes.name_fancy.wild_cat_savann","Gato do Vale Ensolarado"
"heroes.name_fancy.wild_cat_sharalen","Lince da linha de frente"
"heroes.name_fancy.wild_cat_stravia","Mensageira dos Chentari"
"heroes.name_fancy.wild_cat_thaffer","Arrombador Malhado"
"heroes.name_fancy.wild_cat_tunes","Gato da Montanha Musical"
"heroes.name_fancy.wild_cat_vernix","Maga Felina"
"heroes.name_fancy.witch_king","Mestra das criptas"
"heroes.name_fancy.witch_king_costume_cosmic","Conjurador Cósmico"
"heroes.name_fancy.wonderland_alice","Aventureiro do País das Maravilhas"
"heroes.name_fancy.wonderland_alice_costume_warping","Princesa do País das Maravilhas"
"heroes.name_fancy.wonderland_bear","Besta do País das Maravilhas"
"heroes.name_fancy.wonderland_captain","Valete do País das Maravilhas"
"heroes.name_fancy.wonderland_cheshire_cat","Gatinho matreiro"
"heroes.name_fancy.wonderland_cheshire_cat_costume_malicious","Gatinho Malicioso"
"heroes.name_fancy.wonderland_hatter","Trapaceiro do País das Maravilhas"
"heroes.name_fancy.wonderland_hatter_costume_tea","Especialista em Chás do País das Maravilhas"
"heroes.name_fancy.wonderland_jabberwocky","Horror do País das Maravilhas"
"heroes.name_fancy.wonderland_jabberwocky_costume_moth","Jaguadarte"
"heroes.name_fancy.wonderland_knave_of_hearts","Ladrão do País das Maravilhas"
"heroes.name_fancy.wonderland_phoenicus","Intelecto do País das Maravilhas"
"heroes.name_fancy.wonderland_queen","Monarca do País das Maravilhas"
"heroes.name_fancy.wonderland_queen_costume_benefactor","Benfeitora do País das Maravilhas"
"heroes.name_fancy.wonderland_tweedles","Gêmeos do País das Maravilhas"
"heroes.name_fancy.wonderland_white_rabbit","Guia do País das Maravilhas"
"heroes.name_fancy.wonderland_white_rabbit_costume_mask","Máscara da Loucura"
