"heroes.name_fancy.astral_cosmicspeaker","Astralalv-astronom"
"heroes.name_fancy.wild_cat_lennart","Skarpøyd rødgaupe"
"heroes.name_fancy.wild_cat_leonie","Leor-overlevende"
"heroes.name_fancy.wild_cat_marnes","Flankstikkende panter"
"heroes.name_fancy.wild_cat_rajesh","Gourmand Tigris-høvding"
"heroes.name_fancy.wild_cat_stravia","Sendebud fra Chentari"
"heroes.name_fancy.wild_cat_thaffer","Stripete safeknekker"
"heroes.name_fancy.wild_cat_tunes","Fjellkattmusiker"
"heroes.name_fancy.wild_cat_vernix","Snøleopardmagiker"
"heroes.name_fancy.witch_king","Kryptenes mester"
"heroes.name_fancy.witch_king_costume_cosmic","Kosmisk tryllekunstner"
"heroes.name_fancy.wonderland_alice","Eventyrer fra Eventyrland"
"heroes.name_fancy.wonderland_alice_costume_warping","Krokket-prinsesse fra Eventyrland"
"heroes.name_fancy.wonderland_bear","Beist fra Eventyrland"
"heroes.name_fancy.wonderland_captain","Slyngel fra Eventyrland"
"heroes.name_fancy.wonderland_cheshire_cat","Skøyeraktig pusekatt"
"heroes.name_fancy.wonderland_cheshire_cat_costume_malicious","Slem kattepus"
"heroes.name_fancy.wonderland_hatter","Gåtemester fra Eventyrland"
"heroes.name_fancy.wonderland_hatter_costume_tea","Tekjenner fra Eventyrland"
"heroes.name_fancy.wonderland_jabberwocky","Skrekk fra Eventyrland"
"heroes.name_fancy.wonderland_jabberwocky_costume_moth","Mølleparden"
"heroes.name_fancy.wonderland_knave_of_hearts","Tyv fra Eventyrland"
"heroes.name_fancy.wonderland_phoenicus","Eventyrlands intellekt"
"heroes.name_fancy.wonderland_queen","Monark fra Eventyrland"
"heroes.name_fancy.wonderland_queen_costume_benefactor","Eventyrland-velgjører"
"heroes.name_fancy.wonderland_tweedles","Tvillinger fra Eventyrland"
"heroes.name_fancy.wonderland_white_rabbit","Veileder fra Eventyrland"
"heroes.name_fancy.wonderland_white_rabbit_costume_mask","Galskapsmaske"
